iter	Passed	Remaining
0	39	38993
1	63	31611
2	82	27480
3	102	25414
4	153	30598
5	173	28679
6	191	27218
7	210	26145
8	229	25271
9	247	24455
10	266	23916
11	284	23463
12	305	23229
13	345	24366
14	367	24119
15	385	23680
16	403	23355
17	423	23085
18	441	22785
19	461	22625
20	480	22380
21	500	22229
22	518	22030
23	537	21838
24	555	21682
25	574	21516
26	593	21373
27	611	21224
28	630	21113
29	649	20991
30	668	20890
31	687	20787
32	704	20657
33	722	20521
34	740	20413
35	757	20291
36	787	20491
37	830	21029
38	857	21140
39	877	21064
40	896	20975
41	918	20946
42	938	20878
43	957	20807
44	978	20760
45	1018	21121
46	1041	21126
47	1062	21069
48	1082	21018
49	1102	20948
50	1122	20890
51	1142	20824
52	1163	20782
53	1181	20697
54	1199	20605
55	1216	20514
56	1234	20424
57	1252	20335
58	1270	20266
59	1289	20200
60	1308	20136
61	1325	20060
62	1343	19984
63	1362	19921
64	1380	19856
65	1398	19793
66	1417	19736
67	1435	19670
68	1452	19591
69	1470	19532
70	1487	19468
71	1505	19402
72	1524	19354
73	1543	19308
74	1561	19256
75	1578	19196
76	1596	19141
77	1615	19092
78	1633	19044
79	1650	18982
80	1669	18936
81	1686	18883
82	1704	18835
83	1723	18792
84	1741	18741
85	1759	18701
86	1777	18658
87	1795	18612
88	1814	18569
89	1832	18528
90	1850	18488
91	1869	18447
92	1887	18404
93	1905	18363
94	1924	18329
95	1942	18289
96	1960	18247
97	1978	18209
98	1995	18165
99	2014	18131
100	2032	18094
101	2050	18056
102	2068	18018
103	2087	17980
104	2105	17943
105	2123	17910
106	2142	17877
107	2160	17846
108	2178	17810
109	2196	17775
110	2232	17881
111	2251	17852
112	2271	17827
113	2290	17798
114	2310	17778
115	2328	17743
116	2346	17710
117	2364	17675
118	2382	17640
119	2401	17612
120	2420	17586
121	2439	17555
122	2457	17522
123	2475	17489
124	2493	17455
125	2513	17433
126	2532	17409
127	2550	17375
128	2568	17345
129	2586	17309
130	2605	17281
131	2623	17249
132	2640	17209
133	2658	17181
134	2677	17153
135	2695	17121
136	2713	17090
137	2731	17062
138	2749	17032
139	2769	17013
140	2790	16998
141	2809	16973
142	2829	16956
143	2850	16943
144	2870	16928
145	2894	16928
146	2915	16916
147	2936	16906
148	2957	16889
149	2977	16874
150	2999	16863
151	3020	16852
152	3042	16840
153	3062	16823
154	3082	16801
155	3099	16771
156	3117	16739
157	3135	16711
158	3154	16687
159	3172	16657
160	3190	16628
161	3208	16599
162	3225	16563
163	3243	16533
164	3262	16509
165	3280	16479
166	3299	16455
167	3320	16442
168	3337	16412
169	3355	16383
170	3373	16352
171	3390	16320
172	3409	16297
173	3428	16275
174	3446	16246
175	3464	16218
176	3482	16190
177	3499	16160
178	3516	16130
179	3534	16103
180	3553	16077
181	3571	16051
182	3589	16024
183	3607	16000
184	3625	15972
185	3642	15942
186	3662	15923
187	3680	15896
188	3698	15869
189	3717	15846
190	3735	15820
191	3752	15791
192	3770	15766
193	3789	15745
194	3807	15719
195	3825	15690
196	3843	15665
197	3862	15644
198	3879	15616
199	3897	15591
200	3915	15566
201	3933	15540
202	3951	15513
203	3970	15492
204	3988	15467
205	4006	15442
206	4024	15418
207	4042	15393
208	4060	15368
209	4078	15343
210	4096	15316
211	4113	15288
212	4133	15270
213	4152	15250
214	4172	15234
215	4190	15211
216	4208	15186
217	4226	15161
218	4244	15138
219	4262	15112
220	4281	15092
221	4299	15069
222	4317	15043
223	4336	15022
224	4354	14998
225	4372	14975
226	4389	14948
227	4407	14922
228	4424	14897
229	4443	14874
230	4460	14848
231	4479	14827
232	4497	14804
233	4515	14782
234	4534	14760
235	4554	14743
236	4572	14720
237	4590	14698
238	4608	14674
239	4626	14650
240	4643	14625
241	4664	14608
242	4682	14585
243	4700	14562
244	4718	14540
245	4735	14513
246	4753	14490
247	4770	14466
248	4789	14445
249	4807	14422
250	4825	14400
251	4844	14380
252	4861	14354
253	4880	14333
254	4898	14311
255	4916	14287
256	4933	14263
257	4950	14237
258	4967	14212
259	4984	14187
260	5003	14166
261	5022	14146
262	5040	14124
263	5057	14101
264	5076	14081
265	5095	14060
266	5113	14037
267	5130	14012
268	5148	13992
269	5166	13968
270	5184	13946
271	5201	13922
272	5220	13902
273	5239	13882
274	5258	13862
275	5276	13841
276	5294	13819
277	5313	13798
278	5331	13776
279	5349	13754
280	5367	13734
281	5385	13712
282	5403	13691
283	5421	13669
284	5439	13646
285	5457	13625
286	5475	13603
287	5493	13581
288	5511	13558
289	5528	13536
290	5546	13512
291	5564	13490
292	5581	13468
293	5599	13445
294	5617	13423
295	5634	13401
296	5653	13382
297	5671	13360
298	5690	13340
299	5707	13317
300	5724	13294
301	5742	13273
302	5760	13252
303	5778	13229
304	5796	13207
305	5813	13184
306	5830	13161
307	5848	13140
308	5867	13120
309	5885	13100
310	5903	13078
311	5920	13056
312	5939	13035
313	5957	13016
314	5978	13001
315	5997	12981
316	6015	12961
317	6033	12939
318	6050	12916
319	6071	12900
320	6089	12880
321	6107	12860
322	6127	12842
323	6146	12823
324	6164	12803
325	6181	12780
326	6199	12759
327	6217	12737
328	6235	12717
329	6255	12699
330	6272	12677
331	6290	12657
332	6309	12638
333	6328	12619
334	6346	12599
335	6364	12577
336	6382	12557
337	6400	12535
338	6418	12514
339	6436	12493
340	6454	12472
341	6472	12452
342	6491	12433
343	6509	12413
344	6527	12393
345	6546	12373
346	6563	12352
347	6581	12330
348	6598	12309
349	6616	12287
350	6634	12267
351	6653	12248
352	6671	12228
353	6689	12207
354	6708	12188
355	6725	12167
356	6744	12147
357	6762	12126
358	6780	12106
359	6797	12084
360	6815	12063
361	6833	12043
362	6851	12022
363	6868	12001
364	6887	11981
365	6905	11961
366	6923	11942
367	6941	11920
368	6959	11901
369	6977	11880
370	6994	11859
371	7013	11839
372	7030	11817
373	7047	11795
374	7064	11774
375	7081	11753
376	7098	11730
377	7117	11712
378	7136	11692
379	7154	11673
380	7172	11653
381	7190	11633
382	7208	11612
383	7225	11590
384	7243	11571
385	7261	11549
386	7279	11530
387	7296	11509
388	7313	11487
389	7331	11467
390	7349	11446
391	7366	11425
392	7385	11407
393	7402	11385
394	7420	11365
395	7438	11346
396	7457	11326
397	7474	11305
398	7493	11287
399	7512	11268
400	7530	11248
401	7547	11226
402	7565	11206
403	7583	11186
404	7601	11168
405	7619	11147
406	7637	11127
407	7655	11107
408	7672	11086
409	7690	11066
410	7708	11046
411	7726	11026
412	7744	11006
413	7762	10987
414	7778	10965
415	7798	10947
416	7815	10926
417	7833	10906
418	7851	10887
419	7869	10868
420	7887	10846
421	7904	10826
422	7922	10806
423	7940	10786
424	7959	10768
425	7977	10748
426	7995	10729
427	8012	10708
428	8030	10688
429	8047	10668
430	8065	10647
431	8083	10628
432	8105	10613
433	8123	10594
434	8142	10575
435	8161	10557
436	8180	10539
437	8198	10519
438	8216	10499
439	8233	10479
440	8250	10457
441	8269	10439
442	8287	10420
443	8305	10400
444	8323	10381
445	8341	10361
446	8360	10342
447	8377	10322
448	8395	10302
449	8413	10282
450	8430	10262
451	8447	10242
452	8465	10222
453	8482	10201
454	8500	10181
455	8517	10161
456	8535	10141
457	8553	10122
458	8570	10101
459	8587	10081
460	8604	10060
461	8622	10040
462	8641	10022
463	8659	10003
464	8677	9984
465	8695	9964
466	8712	9943
467	8730	9924
468	8748	9905
469	8765	9884
470	8783	9865
471	8800	9845
472	8819	9826
473	8840	9810
474	8858	9790
475	8876	9771
476	8894	9752
477	8913	9733
478	8933	9717
479	8952	9698
480	8970	9678
481	8987	9659
482	9006	9640
483	9024	9620
484	9041	9601
485	9060	9581
486	9078	9563
487	9096	9543
488	9115	9525
489	9133	9506
490	9151	9486
491	9169	9467
492	9189	9450
493	9207	9431
494	9225	9412
495	9244	9393
496	9261	9373
497	9279	9354
498	9296	9334
499	9314	9314
500	9333	9296
501	9351	9276
502	9369	9258
503	9387	9238
504	9404	9218
505	9422	9199
506	9440	9179
507	9459	9161
508	9476	9141
509	9493	9121
510	9512	9102
511	9530	9083
512	9547	9064
513	9566	9045
514	9586	9027
515	9607	9012
516	9627	8993
517	9645	8974
518	9663	8955
519	9681	8936
520	9699	8917
521	9718	8899
522	9737	8880
523	9755	8861
524	9773	8842
525	9791	8823
526	9808	8803
527	9826	8783
528	9843	8763
529	9860	8744
530	9878	8725
531	9896	8705
532	9913	8686
533	9932	8667
534	9951	8649
535	9969	8629
536	9986	8610
537	10005	8592
538	10024	8573
539	10042	8554
540	10060	8535
541	10078	8516
542	10096	8497
543	10115	8478
544	10134	8460
545	10152	8441
546	10169	8422
547	10188	8403
548	10206	8384
549	10224	8365
550	10241	8345
551	10259	8326
552	10277	8307
