iter	Passed	Remaining
0	158	157895
1	181	90507
2	203	67591
3	225	56252
4	249	49625
5	269	44637
6	290	41167
7	308	38244
8	328	36199
9	347	34404
10	370	33276
11	389	32077
12	412	31307
13	432	30466
14	454	29835
15	477	29364
16	499	28886
17	521	28442
18	543	28050
19	565	27690
20	588	27451
21	610	27160
22	634	26934
23	657	26744
24	681	26583
25	704	26382
26	729	26275
27	754	26201
28	784	26262
29	819	26496
30	847	26505
31	883	26723
32	923	27052
33	968	27517
34	1050	28977
35	1136	30425
36	1205	31387
37	1231	31171
38	1255	30930
39	1280	30724
40	1303	30493
41	1327	30274
42	1365	30398
43	1393	30281
44	1419	30130
45	1441	29898
46	1472	29862
47	1498	29729
48	1523	29575
49	1542	29308
50	1560	29035
51	1580	28818
52	1599	28571
53	1616	28322
54	1638	28145
55	1659	27975
56	1677	27760
57	1696	27552
58	1715	27355
59	1733	27164
60	1752	26978
61	1772	26823
62	1790	26634
63	1809	26460
64	1841	26488
65	1860	26332
66	1879	26171
67	1897	26008
68	1920	25913
69	1942	25813
70	1964	25707
71	1989	25637
72	2012	25557
73	2035	25470
74	2058	25386
75	2081	25311
76	2105	25233
77	2128	25162
78	2150	25072
79	2177	25045
80	2208	25058
81	2231	24976
82	2256	24925
83	2283	24897
84	2307	24835
85	2334	24811
86	2359	24760
87	2384	24714
88	2419	24765
89	2446	24733
90	2475	24729
91	2509	24770
92	2537	24744
93	2580	24873
94	2599	24766
95	2618	24659
96	2637	24548
97	2655	24443
98	2674	24344
99	2696	24267
100	2718	24195
101	2741	24131
102	2760	24037
103	2777	23932
104	2796	23839
105	2815	23745
106	2838	23688
107	2869	23700
108	2894	23660
109	2918	23615
110	2945	23587
111	2967	23530
112	2994	23502
113	3018	23456
114	3059	23544
115	3083	23501
116	3108	23461
117	3133	23421
118	3159	23391
119	3183	23342
120	3208	23309
121	3230	23248
122	3250	23177
123	3273	23125
124	3293	23052
125	3311	22973
126	3329	22885
127	3347	22804
128	3367	22734
129	3385	22654
130	3403	22577
131	3425	22528
132	3446	22464
133	3465	22397
134	3486	22337
135	3507	22282
136	3526	22212
137	3545	22144
138	3563	22072
139	3581	21998
140	3599	21927
141	3617	21858
142	3636	21791
143	3654	21724
144	3672	21655
145	3690	21588
146	3709	21522
147	3726	21451
148	3745	21390
149	3764	21332
150	3782	21268
151	3802	21212
152	3819	21147
153	3838	21084
154	3856	21024
155	3874	20962
156	3892	20902
157	3911	20842
158	3930	20791
159	3950	20737
160	3969	20687
161	3991	20646
162	4014	20611
163	4036	20578
164	4060	20547
165	4083	20517
166	4105	20480
167	4128	20446
168	4151	20413
169	4171	20366
170	4190	20314
171	4211	20273
172	4230	20221
173	4248	20167
174	4265	20111
175	4284	20057
176	4301	20002
177	4319	19949
178	4338	19897
179	4358	19857
180	4379	19817
181	4403	19792
182	4424	19753
183	4458	19770
184	4478	19730
185	4500	19695
186	4523	19666
187	4542	19621
188	4561	19573
189	4582	19537
190	4601	19491
191	4620	19443
192	4638	19394
193	4658	19354
194	4679	19316
195	4698	19274
196	4717	19229
197	4740	19202
198	4763	19174
199	4786	19145
200	4808	19115
201	4827	19070
202	4849	19039
203	4872	19011
204	4893	18978
205	4914	18941
206	4934	18902
207	4955	18867
208	4974	18825
209	4995	18792
210	5015	18753
211	5032	18705
212	5052	18667
213	5073	18636
214	5093	18596
215	5111	18553
216	5129	18509
217	5148	18467
218	5169	18436
219	5188	18396
220	5207	18354
221	5224	18310
222	5243	18270
223	5262	18231
224	5280	18187
225	5298	18146
226	5317	18107
227	5335	18067
228	5354	18028
229	5374	17992
230	5393	17955
231	5412	17918
232	5432	17881
233	5453	17852
234	5473	17816
235	5492	17780
236	5512	17746
237	5531	17711
238	5552	17680
239	5574	17652
240	5598	17631
241	5622	17609
242	5645	17587
243	5671	17571
244	5696	17555
245	5728	17556
246	5757	17550
247	5787	17549
248	5816	17542
249	5850	17552
250	5880	17547
251	5909	17540
252	5950	17570
253	5991	17597
254	6031	17621
