iter	Passed	Remaining
0	33	33660
1	54	27323
2	75	25111
3	100	24904
4	123	24524
5	148	24561
6	172	24477
7	189	23542
8	212	23352
9	234	23261
10	257	23173
11	279	23020
12	301	22916
13	324	22872
14	345	22697
15	365	22475
16	385	22287
17	405	22126
18	425	21964
19	441	21648
20	461	21517
21	483	21476
22	502	21362
23	522	21253
24	536	20904
25	549	20573
26	568	20479
27	606	21066
28	637	21340
29	665	21525
30	696	21771
31	721	21820
32	743	21801
33	769	21850
34	792	21857
35	821	22007
36	853	22223
37	879	22259
38	901	22212
39	923	22157
40	946	22142
41	969	22124
42	985	21929
43	1008	21911
44	1032	21904
45	1056	21901
46	1081	21919
47	1104	21897
48	1130	21946
49	1154	21931
50	1195	22241
51	1220	22243
52	1244	22241
53	1270	22256
54	1294	22239
55	1317	22201
56	1337	22129
57	1360	22096
58	1386	22107
59	1411	22106
60	1435	22104
61	1464	22158
62	1491	22180
63	1512	22125
64	1533	22065
65	1557	22037
66	1581	22022
67	1602	21963
68	1625	21934
69	1650	21929
70	1672	21884
71	1695	21853
72	1717	21803
73	1738	21752
74	1761	21719
75	1786	21718
76	1809	21686
77	1830	21636
78	1854	21624
79	1876	21575
80	1897	21524
81	1919	21488
82	1941	21445
83	1963	21413
84	1987	21392
85	2011	21374
86	2033	21335
87	2054	21289
88	2076	21254
89	2093	21167
90	2116	21137
91	2136	21081
92	2158	21055
93	2181	21030
94	2207	21025
95	2219	20896
96	2241	20870
97	2264	20842
98	2286	20807
99	2311	20801
100	2334	20775
101	2356	20749
102	2365	20602
103	2393	20624
104	2407	20524
105	2434	20534
106	2459	20529
107	2484	20518
108	2506	20492
109	2529	20468
110	2552	20439
111	2571	20392
112	2593	20355
113	2613	20308
114	2634	20272
115	2658	20259
116	2681	20235
117	2703	20208
118	2725	20175
119	2745	20136
120	2767	20105
121	2787	20058
122	2807	20015
123	2827	19973
124	2846	19926
125	2866	19881
126	2886	19838
127	2905	19792
128	2925	19750
129	2945	19710
130	2956	19609
131	2975	19567
132	2995	19529
133	3015	19489
134	3021	19358
135	3040	19316
136	3060	19279
137	3081	19246
138	3111	19270
139	3146	19331
140	3175	19347
141	3204	19365
142	3233	19379
143	3253	19340
144	3280	19341
145	3308	19354
146	3332	19339
147	3359	19341
148	3387	19348
149	3420	19382
150	3446	19376
151	3468	19351
152	3494	19344
153	3518	19329
154	3541	19309
155	3567	19299
156	3590	19277
157	3612	19250
158	3636	19237
159	3660	19218
160	3685	19207
