iter	Passed	Remaining
0	21	21034
1	40	20290
2	62	20906
3	84	21049
4	106	21151
5	127	21194
6	147	20905
7	168	20920
8	191	21090
9	214	21208
10	227	20486
11	249	20526
12	270	20572
13	291	20564
14	313	20606
15	335	20624
16	356	20592
17	377	20598
18	399	20607
19	419	20576
20	440	20551
21	462	20577
22	484	20594
23	505	20574
24	528	20598
25	549	20593
26	570	20573
27	591	20541
28	614	20561
29	635	20535
30	656	20511
31	677	20487
32	699	20485
33	721	20492
34	742	20468
35	765	20492
36	787	20507
37	808	20472
38	829	20446
39	850	20420
40	872	20399
41	892	20357
42	913	20335
43	933	20291
44	955	20287
45	976	20259
46	998	20238
47	1019	20214
48	1040	20192
49	1061	20167
50	1082	20142
51	1103	20117
52	1123	20081
53	1144	20058
54	1163	19989
55	1186	19995
56	1208	19988
57	1229	19962
58	1251	19952
59	1271	19927
60	1293	19911
61	1315	19901
62	1336	19878
63	1357	19851
64	1378	19824
65	1392	19711
66	1414	19697
67	1445	19812
68	1466	19790
69	1487	19768
70	1509	19752
71	1530	19725
72	1551	19708
73	1573	19689
74	1595	19683
75	1617	19667
76	1639	19652
77	1661	19639
78	1683	19621
79	1705	19611
80	1725	19582
81	1748	19569
82	1772	19579
83	1793	19553
84	1808	19463
85	1830	19450
86	1851	19433
87	1863	19313
88	1886	19308
89	1909	19303
90	1915	19132
91	1937	19118
92	1958	19103
93	1980	19089
94	2001	19070
95	2022	19047
96	2043	19024
97	2064	19003
98	2085	18979
99	2106	18957
100	2127	18935
101	2148	18917
102	2169	18894
103	2191	18877
104	2213	18870
105	2237	18869
106	2258	18851
107	2279	18829
108	2302	18821
109	2325	18813
110	2347	18799
111	2368	18778
112	2389	18759
113	2410	18737
114	2431	18710
115	2453	18693
116	2473	18670
117	2496	18662
118	2512	18599
119	2533	18575
120	2553	18552
121	2575	18533
122	2597	18523
123	2618	18499
124	2640	18480
125	2661	18461
126	2682	18439
127	2703	18420
128	2724	18396
129	2747	18385
130	2769	18374
131	2791	18355
132	2800	18257
133	2822	18237
134	2843	18219
135	2864	18199
136	2886	18182
137	2907	18162
138	2929	18145
139	2949	18119
140	2971	18103
141	2993	18084
142	3014	18063
143	3035	18043
144	3056	18023
145	3078	18005
146	3099	17988
147	3121	17967
148	3142	17949
149	3164	17930
150	3187	17920
151	3208	17897
152	3230	17883
153	3251	17863
154	3272	17841
155	3295	17826
156	3315	17804
157	3337	17783
158	3358	17762
159	3378	17739
160	3393	17686
161	3415	17667
162	3425	17589
163	3445	17566
164	3467	17545
165	3488	17525
166	3506	17489
167	3527	17469
168	3548	17450
169	3570	17431
170	3577	17341
171	3598	17320
172	3620	17305
173	3641	17287
174	3664	17273
175	3679	17226
176	3701	17209
177	3723	17192
178	3746	17184
179	3768	17167
180	3790	17151
181	3812	17134
182	3833	17114
183	3855	17096
184	3877	17082
185	3899	17066
186	3921	17051
187	3942	17027
188	3963	17006
189	3984	16987
190	4005	16966
191	4027	16947
192	4048	16929
193	4069	16908
194	4090	16888
195	4112	16868
196	4133	16850
197	4155	16830
198	4178	16817
199	4198	16795
200	4219	16773
201	4240	16753
202	4262	16733
203	4283	16715
204	4300	16675
205	4321	16658
206	4343	16638
207	4364	16619
208	4385	16598
209	4406	16576
210	4427	16556
211	4433	16479
212	4442	16413
213	4463	16392
214	4483	16371
215	4505	16354
216	4523	16321
217	4531	16256
218	4554	16240
219	4575	16223
220	4598	16207
221	4620	16191
222	4641	16171
223	4662	16152
224	4683	16133
225	4704	16112
226	4728	16100
227	4750	16085
228	4772	16066
229	4793	16048
230	4814	16028
231	4835	16007
232	4857	15991
233	4878	15970
234	4899	15949
235	4920	15930
236	4942	15910
237	4963	15889
238	4984	15870
239	5005	15851
240	5027	15832
241	5048	15813
242	5069	15793
243	5090	15771
244	5111	15752
245	5132	15731
246	5154	15714
247	5176	15695
248	5197	15676
249	5218	15656
250	5239	15635
251	5260	15614
252	5283	15598
253	5304	15578
254	5318	15539
255	5338	15516
256	5360	15497
257	5366	15433
258	5386	15411
259	5405	15385
260	5425	15363
261	5446	15342
262	5467	15322
263	5488	15302
264	5510	15283
265	5532	15265
266	5554	15248
267	5576	15230
268	5596	15209
269	5618	15190
270	5639	15170
271	5661	15152
272	5682	15132
273	5703	15112
274	5727	15098
275	5749	15080
276	5770	15062
277	5792	15043
278	5812	15021
279	5834	15002
280	5855	14983
281	5877	14963
282	5898	14942
283	5919	14924
284	5939	14901
285	5960	14881
286	5981	14860
287	6003	14841
288	6017	14804
289	6038	14783
290	6059	14764
291	6080	14743
292	6102	14724
293	6123	14703
294	6145	14686
295	6168	14671
296	6190	14651
297	6211	14631
298	6232	14611
299	6253	14591
300	6275	14574
301	6282	14519
302	6303	14500
303	6324	14480
304	6346	14461
305	6367	14441
306	6388	14421
307	6409	14400
308	6421	14359
309	6430	14312
310	6451	14291
311	6472	14272
312	6492	14250
313	6514	14232
314	6534	14210
315	6556	14192
316	6577	14172
317	6599	14152
318	6621	14135
319	6642	14116
320	6664	14096
321	6685	14076
322	6707	14059
323	6730	14042
324	6751	14022
325	6773	14004
326	6795	13985
327	6816	13964
328	6837	13945
329	6858	13924
330	6878	13903
331	6900	13883
332	6921	13863
333	6942	13843
334	6963	13824
335	6985	13804
336	7006	13783
337	7028	13765
338	7048	13744
339	7069	13723
340	7082	13687
341	7103	13667
342	7125	13648
343	7147	13630
344	7171	13614
345	7192	13594
346	7214	13575
347	7235	13555
348	7257	13537
349	7278	13517
350	7300	13498
351	7321	13478
352	7348	13468
353	7368	13446
354	7389	13426
355	7411	13406
356	7431	13385
357	7453	13365
358	7474	13346
359	7496	13326
360	7518	13307
361	7538	13285
362	7562	13270
363	7584	13251
364	7605	13232
365	7626	13210
366	7647	13190
367	7668	13170
368	7690	13150
369	7712	13132
370	7731	13108
371	7753	13089
372	7775	13070
373	7796	13050
374	7818	13030
375	7840	13011
376	7861	12990
377	7882	12970
378	7892	12931
379	7913	12911
380	7935	12891
381	7956	12872
382	7975	12847
383	7996	12827
384	8017	12807
385	8038	12786
386	8059	12766
387	8080	12745
388	8102	12726
389	8124	12707
390	8147	12690
391	8170	12672
392	8192	12653
393	8204	12618
394	8225	12598
395	8240	12569
396	8262	12549
397	8283	12529
398	8304	12509
399	8327	12490
400	8348	12470
401	8369	12450
402	8391	12431
403	8400	12393
404	8421	12372
405	8443	12353
406	8465	12334
407	8486	12313
408	8507	12293
409	8529	12273
410	8552	12256
411	8574	12238
412	8596	12218
413	8618	12199
414	8641	12181
415	8662	12161
416	8684	12141
417	8706	12123
418	8730	12105
419	8751	12084
420	8772	12065
421	8794	12044
422	8815	12025
423	8836	12004
424	8857	11984
425	8878	11963
426	8899	11942
427	8921	11922
428	8942	11902
429	8963	11881
430	8985	11862
431	9007	11842
432	9028	11822
433	9049	11802
434	9071	11782
435	9092	11761
436	9113	11741
437	9137	11724
438	9160	11705
439	9180	11684
440	9202	11664
441	9222	11643
442	9235	11612
443	9258	11593
444	9280	11574
445	9301	11553
446	9322	11532
447	9343	11512
448	9364	11492
449	9386	11472
450	9407	11452
451	9429	11432
452	9438	11397
453	9450	11365
454	9471	11344
455	9480	11310
456	9501	11289
457	9524	11271
458	9549	11255
459	9570	11235
460	9584	11205
461	9604	11184
462	9626	11164
463	9647	11144
464	9662	11117
465	9684	11097
466	9707	11079
467	9729	11060
468	9751	11040
469	9772	11020
470	9793	11000
471	9814	10979
472	9837	10960
473	9858	10939
474	9879	10918
475	9900	10899
476	9923	10880
477	9944	10860
478	9965	10839
479	9987	10819
480	10008	10799
481	10029	10778
482	10050	10758
483	10062	10727
484	10083	10707
485	10104	10686
486	10126	10667
487	10149	10649
488	10170	10628
489	10191	10607
490	10213	10588
491	10223	10555
492	10245	10536
493	10268	10517
494	10289	10497
495	10310	10476
496	10332	10457
497	10353	10436
498	10375	10416
499	10396	10396
500	10417	10376
501	10438	10355
502	10448	10323
503	10468	10302
504	10489	10281
505	10510	10261
506	10533	10242
507	10554	10222
508	10575	10201
509	10597	10181
510	10617	10160
511	10640	10141
512	10661	10120
513	10685	10103
514	10708	10084
515	10740	10074
516	10762	10054
