id,smoking
19200,1
7784,0
11682,0
9949,1
9378,1
12596,1
1441,1
1520,0
1271,1
15819,1
6594,1
6287,1
18232,1
5425,1
17236,0
6427,0
8716,0
12105,1
2481,1
2345,0
4300,0
17860,1
4539,1
5385,0
12999,1
1373,1
18063,1
9286,1
12836,0
6322,1
5594,1
11525,1
12090,0
9562,1
16500,1
9253,1
19481,0
5125,0
18738,1
16445,1
8753,0
9518,0
8909,1
17536,1
3583,0
8604,0
5434,0
9288,0
6230,1
3232,1
4432,1
15941,1
16967,1
18753,1
4630,0
17677,0
14323,0
3831,1
12055,1
18483,1
7001,1
15066,0
9719,0
9774,0
19650,0
17462,1
19089,1
13773,1
19360,1
18260,1
4098,1
2846,0
12240,1
3552,1
18813,1
8445,0
15768,1
1615,0
11955,0
9485,1
14799,1
17167,1
3713,0
17897,1
11245,0
15274,1
6982,1
1640,1
18697,0
15952,1
10574,1
9586,1
17639,1
11017,1
2068,0
851,1
9185,1
7086,1
12031,0
17,0
5112,1
18394,1
8560,1
13814,1
14846,1
2862,1
12825,1
8808,0
17480,1
19205,0
9241,1
12662,1
15132,1
15649,1
15470,1
14942,0
2228,1
5394,1
3218,1
12407,1
5170,0
3723,1
15672,1
9113,0
10124,1
6447,1
15441,1
7911,1
16998,1
12155,1
9828,1
10133,1
12693,0
15223,1
197,1
8584,1
10172,0
11114,1
15240,1
3386,1
3165,0
2204,0
13625,1
6226,0
17764,1
5012,0
10279,0
2262,1
13205,1
4441,0
8353,1
12034,0
2816,1
4039,1
2644,0
8958,1
2257,1
6602,0
13465,0
1239,0
11701,1
1536,0
10078,1
2575,1
15351,1
2374,1
2629,1
9841,0
2576,1
7288,0
1032,1
10033,1
10174,1
13330,0
14211,1
9896,1
17970,1
18528,1
5426,0
8280,1
7390,1
15056,1
8752,1
3420,0
5566,1
17909,0
8132,1
19132,1
2914,0
9467,1
18814,1
1845,1
678,1
931,1
6628,0
5315,0
5259,1
9597,0
4007,1
278,1
5909,1
6932,0
5688,0
6623,0
4919,0
11025,1
842,0
4946,0
1474,0
7200,1
9085,0
7283,1
18252,0
11234,1
19539,1
17101,1
16647,1
12478,0
14981,1
1310,0
11378,1
2893,1
9632,0
18820,1
18679,1
2922,1
12052,1
11557,0
7345,1
7810,0
4382,0
19572,1
9462,1
1919,0
12531,1
15471,1
12011,0
7457,0
10678,1
2407,1
4143,0
6151,1
773,1
13983,1
9668,1
10350,1
15100,0
5327,1
19323,0
13374,1
5546,0
4405,1
7982,0
14057,0
18173,1
19547,0
573,1
7882,1
7009,0
12804,0
122,1
7069,0
15259,0
5484,0
8803,0
8129,1
10498,1
5072,1
1173,0
8062,1
18339,1
16349,0
1142,1
18476,1
11899,0
9272,0
13150,1
2585,1
9480,1
14272,0
3445,1
16422,0
17152,1
1762,0
2022,1
15148,1
207,0
16215,1
4425,0
6014,0
6053,1
19157,1
5038,1
3491,1
12732,0
3741,1
4950,1
7554,1
3857,0
289,0
14553,0
13867,1
5395,0
653,1
14692,0
2814,1
12762,1
9587,1
14927,1
1983,0
5912,0
16449,1
17647,1
12466,1
12865,0
12834,0
8852,1
17045,0
14755,1
7514,1
9295,0
7013,0
7928,0
11757,0
5035,1
15902,1
6878,1
8988,0
14624,1
16605,1
12166,1
3511,0
13336,1
15921,1
13793,0
17838,0
16265,1
737,1
18308,1
14273,0
10630,0
13209,1
12993,0
6578,1
4832,1
15051,0
17038,1
5662,0
13957,1
13189,0
16397,1
11975,1
13128,1
299,0
1999,1
11387,0
5173,1
17527,1
2749,1
1197,0
12364,0
17721,1
8589,1
18605,0
17273,1
17954,1
11674,1
7232,1
994,1
2702,0
9117,1
6759,1
10740,1
203,1
12421,1
10745,0
8879,1
8684,1
2087,0
15609,1
19590,1
399,1
5723,0
2934,1
18400,0
10847,1
3658,1
1949,0
12534,0
4491,0
11483,1
14937,1
1123,1
15783,0
2404,1
19651,0
4,1
14283,0
3309,1
6874,0
15519,1
10897,1
13602,1
51,1
16861,0
158,0
4158,0
18991,1
15075,0
2054,0
7926,1
17839,0
1439,0
8895,0
11548,0
4665,1
7158,1
16948,0
17634,1
1749,1
14442,0
4251,0
14186,0
517,1
880,1
8931,0
17956,1
11733,1
12751,1
9271,1
18306,0
14848,1
9048,1
11693,1
10094,1
3942,0
14188,1
13229,1
3342,1
8492,1
8820,1
15267,1
1371,1
5719,0
5561,1
10421,1
2232,0
13008,1
4186,1
9689,0
17027,0
9531,1
10638,1
16924,1
13236,1
6879,1
17974,1
8175,1
10228,1
362,1
3341,1
4005,1
549,0
11994,0
15346,1
17317,1
1710,1
11077,0
5628,1
18886,1
11594,0
10737,1
10415,1
18805,1
9764,1
10487,1
6551,0
14902,1
13389,0
4363,1
14589,1
12809,1
9114,1
642,0
13312,1
3018,1
15354,1
19748,0
833,1
1053,1
8622,1
9640,1
12790,0
16499,0
10766,1
16730,1
12866,1
15558,0
14220,0
7591,1
15595,1
14977,1
2317,0
2928,0
5556,1
18160,1
3126,1
19397,0
14847,0
3623,0
8212,1
16553,1
11603,1
7456,0
11458,1
8759,1
5441,1
1203,0
10758,1
19703,1
13799,0
10001,1
2475,1
14985,0
9885,1
4240,1
15162,1
11332,1
1669,0
10938,0
1204,0
5798,0
4843,0
7164,1
9548,0
16523,1
3346,1
13787,1
7769,1
8934,1
2693,0
8963,1
6123,1
15474,0
15565,1
10419,0
8056,0
3272,0
4564,1
1944,1
6391,1
19663,0
18216,1
11127,1
9094,0
9824,1
4175,1
6299,1
11931,1
3286,0
1488,1
16272,1
13248,0
7087,1
13341,0
17290,1
8100,1
18989,1
3602,1
17233,0
15596,0
8545,0
3676,0
194,0
13836,1
6051,1
14375,0
10530,1
16543,1
4710,1
12932,0
12565,1
13284,0
17883,1
13624,0
7890,0
10775,0
13657,1
1965,0
19088,1
9157,1
4888,1
10854,1
19615,1
19069,1
19306,1
2540,1
17305,1
2208,1
5121,1
14872,1
12992,1
6715,1
7974,1
16994,0
13262,1
16207,1
11873,1
3423,1
9490,1
1872,1
19372,1
14499,0
12422,1
15579,1
11597,1
9465,1
6341,1
11890,1
8427,1
5790,1
17139,1
13904,1
17531,0
9630,0
8372,1
14990,1
1451,1
16693,1
9709,0
1498,1
6841,0
17959,1
10408,1
12296,0
787,1
5399,0
556,1
131,0
8511,1
10736,0
7636,1
320,1
16782,0
2716,1
763,0
17969,1
15734,1
2627,0
15469,0
15817,1
16583,0
1670,0
2683,0
4785,1
8647,1
13266,1
6267,0
2650,1
10214,1
13822,0
4230,1
6860,0
4174,1
1597,1
9675,0
8051,0
15157,0
7778,0
19234,0
11498,0
19346,0
17600,1
4747,0
3345,0
17642,1
373,0
15785,1
16249,1
12027,0
9968,1
19245,1
7066,0
17112,0
6918,1
10481,1
7353,0
1012,1
9356,0
18797,1
15782,0
17779,0
12396,1
13510,1
71,1
8384,1
1103,1
14609,1
15859,1
19294,0
17842,1
7421,1
17109,1
519,1
14656,1
8107,0
12195,1
755,1
15917,0
4123,1
19265,1
14410,1
6737,1
12543,0
17907,0
6052,1
13117,1
5752,1
18073,0
2555,0
9607,0
7385,0
1830,1
6956,0
5010,1
7258,0
17050,0
10386,1
12895,1
19176,1
11721,0
18131,1
1392,0
871,1
9759,1
14209,1
18150,1
2415,1
6620,1
4663,0
4464,1
1765,1
60,1
3043,0
2335,0
16714,1
4351,1
15646,0
1415,0
10507,0
81,0
10663,1
18734,0
18411,0
4085,1
9953,1
6619,0
17377,1
4275,1
17023,1
17750,0
18790,1
9375,1
17546,1
141,0
13338,1
8937,1
2307,1
4164,1
224,1
10793,1
9111,0
3316,0
12765,1
12144,0
15211,1
2132,1
9784,1
8139,1
6380,1
5447,1
6006,0
5568,1
11580,0
3971,1
8022,1
13565,0
4817,1
8626,0
15654,0
3859,0
12201,0
15631,0
5161,1
3901,1
2322,0
16129,1
7467,1
1565,1
2732,1
4377,1
8023,1
17281,0
9838,1
11362,1
16450,1
18628,1
8985,1
15714,0
19112,1
796,0
13202,1
17040,1
11393,0
4607,1
10349,0
6070,0
7315,0
528,1
1490,1
10336,0
7857,1
5837,0
12960,0
10339,1
10971,0
19773,1
12812,1
1364,1
5817,1
18775,1
15727,1
12173,1
4018,0
7407,1
9420,1
14033,1
17893,0
10794,0
12148,0
2655,1
8360,1
2125,0
13538,1
12233,0
34,1
6210,0
9266,1
13619,1
6649,0
2060,0
1116,1
1457,0
14098,0
1055,1
8090,0
7520,1
17466,1
4071,1
17646,1
16088,1
12192,1
12294,1
8419,1
11566,0
4301,1
16291,1
3579,1
18134,1
17678,1
4696,1
13546,0
4948,0
6468,1
11568,1
5809,1
5301,0
66,0
5230,1
18286,1
3343,1
3391,0
12381,0
3701,1
798,1
5729,1
4332,0
2312,1
2420,1
8973,1
2160,1
19297,0
13749,1
18059,1
18374,1
3872,1
18393,0
18303,0
11177,1
8702,1
15202,0
1928,1
17871,0
16038,1
6216,0
8993,1
8789,1
19643,0
5890,1
2280,0
14434,0
6817,1
11970,1
18581,0
5044,1
2664,1
702,1
2859,1
16930,0
14194,0
10602,1
15306,1
14745,1
18265,1
15034,0
18888,0
5086,0
9614,1
17003,0
11635,1
4877,1
11389,1
6001,0
958,1
3393,1
1673,1
15404,0
16923,1
13570,1
13314,1
11222,1
2231,0
9722,1
5240,1
6488,1
3997,1
9264,1
10852,0
14287,1
5208,1
18492,1
11035,1
4394,1
2437,1
8631,1
11724,1
14678,0
2188,1
16838,1
17391,1
7743,1
15352,1
3856,1
7771,1
15227,0
3132,1
12537,0
9343,1
12104,1
7807,1
17619,1
17314,0
11278,1
14371,1
18923,1
5881,1
8381,0
7078,1
2143,1
9822,1
12644,1
1312,0
3456,0
6125,0
6327,1
5448,1
9350,0
11144,1
14363,1
1218,1
17431,0
4566,0
19533,0
7640,1
15807,1
19215,0
458,1
12030,0
6232,0
5239,1
6183,1
16939,0
11813,1
19428,1
10557,0
17515,0
6766,1
10723,1
9040,1
17355,1
402,1
17243,0
1126,1
17906,1
569,0
12939,1
925,0
17283,0
12510,1
16692,1
16762,1
6876,1
5900,1
1633,1
3962,1
14134,0
592,1
10237,1
5804,1
17153,0
1160,0
18902,1
10437,1
7220,0
2516,1
17534,1
1641,0
5750,1
10912,0
13946,1
7864,0
19238,1
7569,1
3064,1
15465,1
12905,1
8612,1
11414,1
12048,1
19210,1
8663,1
13647,0
13655,0
5397,1
9973,1
8546,0
12632,1
8237,1
1169,1
5993,1
4083,1
1788,0
7182,0
8207,1
7025,0
11489,0
4984,0
12160,1
1460,1
5620,1
17081,1
15816,0
11790,1
2001,0
13453,1
11435,1
3653,1
9357,0
2903,0
13972,1
13830,1
2492,1
12754,1
257,1
17285,1
13319,1
8508,0
12955,0
5708,1
16375,1
17105,0
15590,1
4202,0
1663,0
8815,1
882,1
406,1
17399,0
19730,0
16231,1
7163,1
11766,1
864,1
13713,0
17119,1
6506,1
16908,1
11910,0
16889,1
6157,0
7245,1
15844,0
4181,1
9180,0
14693,1
5284,1
19450,1
8919,0
3138,0
7325,1
1893,1
6252,0
7834,1
7960,0
12805,1
1997,1
15136,1
14130,1
14332,1
2901,1
5619,1
16195,1
9365,1
14890,0
740,1
18418,1
14054,0
9440,1
12344,0
7893,0
944,1
9402,1
11133,1
9834,0
14962,0
17837,1
35,0
3572,1
2991,1
16152,0
19478,1
607,0
17354,1
1022,1
12121,1
18149,1
14802,0
7908,0
5445,1
9417,1
12475,1
15994,1
15222,1
16481,1
11711,1
6925,1
18074,0
9107,1
18651,0
11507,1
9697,0
13222,1
13635,0
16858,1
6516,0
2205,1
3125,0
18094,0
6499,1
1211,1
5785,1
5957,0
16214,1
15610,1
12648,0
6504,1
2984,1
11847,1
13218,1
8489,0
16453,0
6990,1
3479,1
6392,1
11335,1
15236,1
16415,1
18103,1
3472,0
10126,1
17043,1
9296,0
14532,0
3489,1
10967,0
19225,0
5626,1
10478,0
13982,1
107,0
936,0
4796,0
5162,0
3334,1
3194,1
16046,0
8455,0
5213,1
10086,0
1334,0
11188,1
19648,0
11529,0
10679,0
12672,1
6220,0
9329,1
9370,0
8264,1
7120,1
13733,0
14166,1
9377,1
859,1
7414,1
3094,0
10436,0
19506,1
8416,1
10245,0
5319,1
1356,1
7726,1
7920,1
1207,1
14379,1
7794,1
1279,1
17676,1
6939,0
9770,0
1152,1
687,1
5573,0
15958,1
16931,1
7192,1
4341,0
12440,1
7927,1
18127,1
8097,1
17747,1
19222,1
9549,0
19520,0
4485,0
7913,0
8141,1
2647,1
400,1
9313,1
13493,1
834,1
15679,1
13540,1
95,0
16439,1
1680,0
10734,0
6692,1
3469,1
19212,0
16960,1
31,0
5946,0
12452,0
4057,1
7595,0
13160,1
17332,1
15480,0
18722,1
14023,1
6992,0
7276,1
7606,0
8095,1
12209,1
615,1
7697,0
16043,0
5816,0
5939,1
4139,1
13654,0
14836,0
19694,1
17637,1
8155,1
6505,0
18587,1
17276,0
5006,1
12525,1
14596,0
12690,0
19558,0
9658,1
8521,1
3112,1
18649,1
13010,1
2786,1
2009,1
13590,1
8727,1
8126,1
6890,1
12483,0
17989,1
3792,1
4223,1
6647,1
1914,1
13486,1
16764,0
7977,1
8579,1
19633,0
17158,1
4944,0
14702,0
19024,0
11648,1
12512,1
6303,0
9215,0
12029,1
10142,0
8482,0
18745,1
3811,1
3858,1
12968,1
15940,1
5330,1
13194,1
2019,1
2152,0
2965,1
11871,1
12946,1
19352,0
15369,1
15573,1
11926,1
11195,1
13574,1
17304,0
4160,1
410,1
1470,1
2654,1
6726,0
2050,1
18595,1
16886,1
5111,0
15266,1
15270,1
5053,1
5682,0
11436,1
1196,0
1317,1
5963,1
16964,0
2182,1
9183,1
3697,0
1311,0
19405,1
13509,1
3867,0
10090,1
17149,1
7969,1
3889,0
7598,1
14856,0
5715,1
200,1
4553,1
2277,1
3891,0
10048,0
10925,0
18594,1
4426,1
1822,0
11860,1
1081,1
4737,1
15724,0
16220,1
13788,1
16441,0
12069,1
19488,1
4478,1
2875,1
12981,1
4447,1
8760,1
4295,0
2512,0
9765,0
4389,0
5575,1
18109,0
1166,0
7714,1
1430,0
9974,1
11795,1
3562,1
3537,1
10018,1
16276,1
7140,1
3817,1
14721,0
4110,0
13652,1
2387,1
7138,1
12646,0
10370,1
19492,0
10645,1
8326,1
7508,0
3304,1
2621,1
14534,0
1025,1
6952,1
881,1
17829,0
15033,1
16150,0
5994,0
5463,1
18893,0
6248,0
14896,1
5096,1
16269,1
1206,1
13524,0
13098,1
1242,1
9616,0
8158,0
9522,1
5670,0
15779,0
10203,1
14880,1
19249,0
9090,0
10054,1
5222,1
9179,1
15120,1
10657,1
17299,1
7435,1
12921,1
10450,1
6948,0
12611,1
3045,0
8930,1
1321,0
16114,0
5522,0
10302,1
11197,1
2077,1
16739,1
17902,0
11728,1
12298,1
5346,1
482,1
12886,0
208,1
521,0
8921,1
16868,1
13639,1
3276,0
18884,1
7850,1
11180,0
15076,1
11773,1
2260,1
7052,1
2508,0
14399,1
3339,0
44,1
17877,1
18767,1
18253,1
3799,0
7652,1
18495,1
10233,1
14958,1
17665,1
876,1
748,1
17895,0
14528,0
6540,1
11930,1
9581,1
7444,1
16636,1
19495,0
17596,1
8886,0
7482,1
13061,1
9100,1
3417,1
10611,1
16919,1
4111,0
6238,0
14509,1
1768,0
10754,1
4509,1
12493,0
19646,1
11238,0
18098,1
6023,0
12018,1
13055,1
9133,1
5156,0
276,0
19288,1
10733,1
6866,1
438,1
8692,1
585,1
13869,1
6109,1
19037,0
15230,1
12426,0
3728,1
7070,1
16008,0
3188,1
10165,0
12445,0
2499,1
11974,1
1482,1
1850,1
19661,1
10577,1
15233,1
6450,1
12234,0
6636,1
17114,1
3240,0
1651,1
9943,1
12964,1
2436,0
6510,0
15800,0
15752,0
9000,1
4906,0
8,0
18259,0
6983,1
3452,1
8653,1
18891,1
7110,0
16027,0
11280,0
4838,1
4414,0
12309,1
15956,0
8700,0
15529,0
8148,1
9809,1
12600,1
16526,0
16457,0
15463,1
8347,1
11415,0
14022,0
9175,0
90,1
13424,1
2241,0
3897,1
2477,0
854,0
835,1
8920,1
14912,1
3117,1
10603,0
5403,0
12098,0
13450,1
6490,1
9460,1
14170,1
4149,1
10711,1
10042,1
3751,1
14071,1
1466,0
15695,0
9431,0
17378,1
6035,1
17400,1
6200,0
19174,1
9205,0
11418,1
8236,1
2742,1
5209,0
16328,0
15746,1
16529,0
96,1
11843,1
9472,0
18291,0
12554,1
7021,1
2417,1
13988,0
12239,0
15786,0
7923,1
7715,1
16026,1
3326,1
14571,0
11775,0
7557,1
15916,1
4596,1
10380,0
9516,0
3088,1
1094,0
18377,0
14308,0
10539,1
14256,1
5049,1
16106,0
14254,1
4227,0
7986,1
426,0
8984,1
7602,1
5461,1
13274,1
1018,0
16028,1
9626,1
11709,0
16382,1
9204,0
4514,1
19078,1
13649,1
16414,1
7524,1
13753,1
1951,0
13528,1
5402,1
3758,0
13584,0
8686,0
9864,1
15880,1
16040,0
7281,1
13301,0
19337,0
9414,1
15591,1
13809,1
10614,0
16617,1
9625,1
15972,1
2800,1
3210,1
5694,0
8986,1
2128,1
10132,1
7357,1
9743,0
4945,0
19542,0
13317,0
17588,0
14843,1
1061,1
9677,1
1509,0
4829,1
19136,0
6176,0
19509,1
945,1
15293,1
13891,0
12138,0
4411,1
2238,1
1176,1
19467,0
19336,0
550,1
11585,0
7250,0
12682,1
13677,1
15175,1
1192,1
2645,0
12760,1
13191,1
4113,0
17576,1
3322,1
5873,1
7963,1
4427,1
8723,1
123,1
8295,1
18490,0
18560,1
10874,1
3244,0
4357,1
4752,1
11034,0
2888,1
13609,1
5843,0
120,0
14791,1
10091,1
19601,0
4883,1
17792,0
17614,0
140,0
4730,0
2652,0
18934,0
9274,1
14666,1
13444,1
924,1
18984,0
6479,1
8146,0
11205,1
12594,0
5091,1
14617,0
17622,1
2609,1
8477,0
10572,0
15676,0
312,0
5515,1
16581,0
14577,0
9573,1
4254,1
16525,1
3505,1
17477,1
1918,0
8431,0
15200,1
13213,0
17914,1
19143,1
15430,1
14453,0
3474,0
1332,0
2471,1
2789,1
8183,0
11482,1
12786,1
1005,1
2740,1
2465,1
443,0
16427,1
4148,0
7207,1
1643,1
6482,1
18681,1
17882,1
16266,0
5428,1
11309,0
9233,1
13700,1
17509,0
486,1
18463,1
19307,0
14850,1
15700,1
9331,1
17719,1
7398,1
17370,1
10136,0
9016,1
10593,0
13467,1
17092,0
10641,1
7396,0
19379,1
9389,1
2856,1
8451,1
4608,1
15411,0
6086,1
222,0
17308,1
9938,1
16674,1
2444,1
6218,0
6509,1
10535,1
7023,0
18518,1
10241,1
1079,1
6859,1
13031,1
6340,1
2390,1
14967,1
1608,0
8916,1
5654,1
15544,0
4667,1
16412,1
5768,1
18776,1
13259,1
2166,0
16558,0
9593,1
8904,1
8859,1
8423,1
558,0
16641,0
10710,1
4622,1
13734,0
17840,1
1275,1
14257,1
2089,1
3744,0
4241,1
9703,1
4011,1
1779,1
814,1
17194,0
8890,0
19393,1
19362,0
4182,1
8165,1
16996,1
14225,1
11048,1
13973,1
15860,1
16981,1
10446,1
14804,1
5953,0
5666,1
4415,1
18256,1
10127,1
11552,1
8810,1
11723,0
15965,1
13505,1
2641,1
17698,0
5311,1
17965,1
18193,1
12511,0
14268,0
5646,0
11524,0
8975,1
14,0
10763,1
12480,1
18440,1
18608,0
13847,0
18792,0
12491,1
6199,1
12360,1
16336,1
19463,1
2435,0
10880,0
10113,0
17608,1
