iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6922126236	0.6100672323	0.4029438822
5	0.6880802498	0.6334642283	0.408506994
10	0.6841557613	0.6290112651	0.411643026
15	0.6803568356	0.6307234012	0.4160047954
20	0.6768438493	0.6284873395	0.4160363086
25	0.6736166917	0.6288681306	0.4169954476
30	0.6707208756	0.6268195802	0.4164885496
35	0.6679008408	0.6328619946	0.4211968936
40	0.6653850947	0.6340402074	0.422642661
45	0.6630460789	0.6337438014	0.4215164869
50	0.6606731917	0.6347702116	0.4220907298
55	0.6586431214	0.6346283359	0.4230593259
60	0.65672032	0.6348328817	0.4237236319
65	0.6547968533	0.6371199056	0.4265111998
70	0.6529447883	0.6388197809	0.4273478128
75	0.6511315286	0.6382420804	0.427562922
80	0.6494025318	0.6414414955	0.4298178478
85	0.647756412	0.6409331627	0.4286150092
90	0.6461056355	0.6426302162	0.4300747293
95	0.6445640682	0.6425814479	0.4302947015
100	0.6430440655	0.6471835319	0.4347560043
105	0.6416291697	0.6470542705	0.4351425943
110	0.6402743666	0.6484071649	0.4360073484
115	0.6389480023	0.6518160991	0.4390019899
120	0.6377379429	0.652273134	0.4395099541
125	0.6366191313	0.6541013086	0.4415464867
130	0.6354424445	0.6539611857	0.440372576
135	0.6342579411	0.6555207202	0.4419315403
140	0.6331608605	0.6568487072	0.443695419
145	0.6320879501	0.6571168924	0.4435607219
150	0.6311190377	0.6593193847	0.4456688093
155	0.6301238487	0.6592814399	0.4456006121
160	0.6289789267	0.6599641762	0.4462127008
165	0.6279222591	0.6614423521	0.447642376
170	0.6269083326	0.6621638274	0.4486353879
175	0.6261216942	0.6630714819	0.449348659
180	0.6252883786	0.6626905179	0.4486610559
185	0.6243334362	0.6644705948	0.4506437768
190	0.6235883195	0.6640923589	0.4502681992
195	0.6226601527	0.6656812624	0.4519098021
200	0.6219222427	0.6652268146	0.4513952775
205	0.6210438575	0.6670063137	0.4533865766
210	0.6204535184	0.6666718215	0.4533989542
215	0.6196181516	0.6677350126	0.4547134935
220	0.6187219715	0.667652489	0.4542518837
225	0.6180194297	0.6684080219	0.455006922
230	0.6171884424	0.6705878755	0.4568090993
235	0.6164822418	0.6710497454	0.4576532184
240	0.6157722716	0.670903677	0.4576976422
245	0.6151881413	0.6717266778	0.4582691715
250	0.614634778	0.6718808793	0.4585516179
255	0.6139856212	0.6729049044	0.4598055856
260	0.6132315238	0.6741798186	0.4608977325
265	0.6126734485	0.672643788	0.4596388332
270	0.6119193511	0.6741900231	0.4612295335
275	0.6112940872	0.6753973561	0.462513526
280	0.610687339	0.6749540596	0.4623239981
285	0.6101269908	0.6754361138	0.462585034
290	0.6095529499	0.6750982801	0.4622758194
295	0.609049202	0.6768519173	0.4636293436
300	0.6085664089	0.6775522565	0.463982724
305	0.6079581085	0.6777851112	0.4644125367
310	0.6073821273	0.6790534837	0.4655039358
315	0.6068074212	0.6793256445	0.4660074166
320	0.6063376556	0.6797008638	0.4663885025
325	0.6057018034	0.680256373	0.4667902379
330	0.6050881257	0.6808502578	0.4672637431
335	0.6044929082	0.6806702017	0.4672435105
340	0.6038792304	0.6807091504	0.4673157163
345	0.6033392273	0.6795590988	0.4664398392
350	0.6029020027	0.6800370722	0.4666975738
355	0.602356844	0.6810598897	0.4679665738
360	0.601935197	0.6821689787	0.4687693259
365	0.601358994	0.6840796887	0.4707520891
370	0.6008428284	0.6845539232	0.4710066491
375	0.6002968936	0.6858136764	0.4720976967
380	0.5999112246	0.6860304219	0.4721878863
385	0.5994646313	0.6859912761	0.472114939
390	0.5991632252	0.6859101256	0.4725921338
395	0.5987080947	0.6865190821	0.4734149744
400	0.5982843966	0.6867545399	0.4738557021
405	0.5978825402	0.6853547681	0.4728176452
410	0.5973955894	0.6872652531	0.4748134328
415	0.5968824728	0.6873832178	0.4750349977
420	0.5964043918	0.6881509512	0.4761607978
425	0.5959210998	0.6892920778	0.4770356531
430	0.5955202967	0.6894103521	0.477258567
435	0.5952093556	0.6896657356	0.4774213641
440	0.5947309974	0.6912167708	0.4787548638
445	0.5942510316	0.6904128033	0.4781931464
450	0.5938209582	0.6914537549	0.479202368
455	0.5934183258	0.691493268	0.4792770333
460	0.5930624814	0.6924372795	0.4804242708
465	0.5926672774	0.6931602272	0.4808351511
470	0.5921334831	0.6936912898	0.4815219086
475	0.5917015249	0.6941431919	0.4820592824
480	0.591298837	0.6949676346	0.4829847018
485	0.5909503102	0.6963522267	0.4840168408
490	0.5904690693	0.69588615	0.4837702871
495	0.5900796861	0.6963522267	0.4840168408
500	0.5896427941	0.6968432733	0.4846309877
505	0.5891915996	0.6976663719	0.4855581577
510	0.5887992228	0.6978788839	0.4856429463
515	0.5884270248	0.698250415	0.4860309037
520	0.5879488884	0.6984096504	0.4863345307
525	0.5876161608	0.6985422401	0.486267166
530	0.5872067652	0.6993645168	0.4871955028
535	0.5868198766	0.7002385621	0.4879038552
540	0.586490198	0.7003582018	0.4881324172
545	0.5861857983	0.7012710536	0.4889166406
550	0.5858293442	0.7010316505	0.4884591391
555	0.5855507223	0.7011398588	0.4889860959
560	0.5852368985	0.7009286839	0.4889027821
565	0.5848766746	0.7009686124	0.488979209
570	0.5845273717	0.7014194432	0.4895214263
575	0.5842055651	0.7010768993	0.4895082994
580	0.5837748265	0.7024811843	0.490914787
585	0.5833167579	0.7019392633	0.4905187275
590	0.5828257603	0.7030923744	0.4917672887
595	0.5825847796	0.7028920786	0.4913820119
600	0.58233188	0.7039239986	0.4923993105
605	0.582028201	0.7042143024	0.4926355374
610	0.581762274	0.70408439	0.49270817
615	0.5815177453	0.7040539539	0.4923269652
620	0.5812467182	0.7043040143	0.4924859111
625	0.580923692	0.704584693	0.4930261714
630	0.5807449105	0.7047945201	0.4931077694
635	0.580520616	0.7060738427	0.4942834769
640	0.5802310732	0.7057842952	0.494047619
645	0.5799734616	0.7054858511	0.4941176471
650	0.5797074792	0.7051958619	0.4938813932
655	0.5794297997	0.7054770732	0.4944243757
660	0.5791131486	0.70571829	0.4948907404
665	0.5787671719	0.7063385676	0.495441685
670	0.5785755847	0.707288208	0.4963067735
675	0.5782324352	0.7074971268	0.4963870562
680	0.5779327476	0.7075373952	0.4964650432
685	0.5776597802	0.7074971268	0.4963870562
690	0.5775169768	0.7072479425	0.4962287869
695	0.5771507658	0.7076985144	0.4967772363
700	0.577006133	0.7079072836	0.4968573224
705	0.5766379264	0.707819402	0.4970116389
