iter	Logloss
0	0.6796559184
1	0.6677246646
2	0.6565565451
3	0.6468825262
4	0.6365566179
5	0.6269013056
6	0.6177863091
7	0.6094363097
8	0.6018914581
9	0.5951010995
10	0.5880714771
11	0.5814704128
12	0.5754866671
13	0.5698521542
14	0.5647877479
15	0.5604218032
16	0.5553304477
17	0.5511851965
18	0.5475515063
19	0.5438428217
20	0.5401972448
21	0.5366237541
22	0.5331322096
23	0.5301420415
24	0.5271862908
25	0.5244266354
26	0.5216753235
27	0.5191962459
28	0.5166563596
29	0.5142999605
30	0.5120012034
31	0.509987854
32	0.5078898615
33	0.5062218412
34	0.5047691827
35	0.5032293729
36	0.5016492788
37	0.4999246124
38	0.4986434912
39	0.4972066286
40	0.495900938
41	0.4942339122
42	0.4932981285
43	0.4923151109
44	0.4912064717
45	0.4902680097
46	0.4894911994
47	0.4885621077
48	0.4875816151
49	0.4867180514
50	0.4858012453
51	0.4848915695
52	0.4841266447
53	0.4833561556
54	0.4822811407
55	0.481814815
56	0.4808248951
57	0.4799055799
58	0.4789064215
59	0.4782404677
60	0.4773730855
61	0.4765776528
62	0.476068798
63	0.4756292282
64	0.4747757242
65	0.4740237303
66	0.4733241078
67	0.4728513314
68	0.4722176009
69	0.4715429729
70	0.470908798
71	0.4702975187
72	0.469847124
73	0.4693235542
74	0.4688197435
75	0.4682447465
76	0.4676921288
77	0.467125836
78	0.4665743462
79	0.4659160977
80	0.4654511447
81	0.4649788727
82	0.4644644126
83	0.4640735281
84	0.4635765633
85	0.4630922261
86	0.4626445744
87	0.4622979627
88	0.4618571637
89	0.4612566678
90	0.4608477228
91	0.4605623253
92	0.4601541034
93	0.4598494385
94	0.4595278858
95	0.4590320869
96	0.4585975459
97	0.4581552542
98	0.4576354125
99	0.457246397
100	0.4570212429
101	0.4566735501
102	0.4562917281
103	0.4558182563
104	0.4554236998
105	0.4551592748
106	0.4549539695
107	0.4546108242
108	0.4541775045
109	0.4539186926
110	0.4536684376
111	0.4533255814
112	0.4528562052
113	0.4525007099
114	0.4522395939
115	0.4519286998
116	0.4516460249
117	0.4513705223
118	0.4511409275
119	0.4509359516
120	0.4506359033
121	0.4503083332
122	0.4500014202
123	0.4496675156
124	0.4493846427
125	0.4491709455
126	0.4488625832
127	0.4486337609
128	0.4484693918
129	0.4481444745
130	0.447851407
131	0.4477122078
132	0.4474045738
133	0.4470711951
134	0.4466206347
135	0.4465207148
136	0.4462766627
137	0.4459562705
138	0.4456636647
139	0.4453834567
140	0.4452432708
141	0.4449552334
142	0.4447161973
143	0.4443413159
144	0.4441992662
145	0.4439605192
146	0.4437353333
147	0.4434915482
148	0.4432662503
149	0.4431196081
150	0.4428695145
151	0.4426151286
152	0.4423331204
153	0.4420052546
154	0.4416688406
155	0.4413836052
156	0.441045783
157	0.4408717683
158	0.4406964462
159	0.4404661895
160	0.4402564918
161	0.440046625
162	0.4398625626
163	0.4395649025
164	0.4393948579
165	0.4392050835
166	0.4389399024
167	0.4387062275
168	0.4385152693
169	0.4383029512
170	0.4380130624
171	0.4377142691
172	0.4375653317
173	0.4373742789
174	0.4371539087
175	0.4369658321
176	0.4367910919
177	0.4365647881
178	0.436412645
179	0.4362115089
180	0.4359444274
181	0.4358102322
182	0.4357134491
183	0.4353831282
184	0.4351486661
185	0.4350275915
186	0.4347949156
187	0.4347653725
188	0.4345685162
189	0.4343890067
190	0.4342205534
191	0.4340554535
192	0.4338099997
193	0.4336835396
194	0.4334941941
195	0.43332652
196	0.4332005893
197	0.4330785726
198	0.432795281
199	0.4325286152
200	0.432219296
201	0.4320070528
202	0.4317531574
203	0.4315358839
204	0.4313414626
205	0.431080952
206	0.4309139298
207	0.4307733446
208	0.4305407776
209	0.4303981642
210	0.4301251363
211	0.4300324723
212	0.4298189734
213	0.4295374613
214	0.4293216881
215	0.4291444907
216	0.4290317103
217	0.4287562283
218	0.4285263147
219	0.4282857661
220	0.4279668864
221	0.4278609411
222	0.4276419729
223	0.4274505639
224	0.4272962157
225	0.4270121806
226	0.4268229658
227	0.426641041
228	0.426519315
229	0.4263606294
230	0.426210764
231	0.4261012067
232	0.4259622753
233	0.4257053872
234	0.4254596418
235	0.4252526157
236	0.4251456463
237	0.4250859306
238	0.4248960009
239	0.4247238464
240	0.4245866841
241	0.4244393493
242	0.4242242792
243	0.4239015802
244	0.4238807485
245	0.4237372464
246	0.4236338247
247	0.4235281334
248	0.4232392574
249	0.4229707792
250	0.4227983062
251	0.4226651625
252	0.4224897438
253	0.4222748201
254	0.4221139035
255	0.4219433732
256	0.4217641296
257	0.4215523672
258	0.4213134633
259	0.4209795653
260	0.4207009324
261	0.420505695
262	0.4202801997
263	0.4199784881
264	0.4197355646
265	0.4194617348
266	0.419393304
267	0.4192687844
268	0.4191926385
269	0.4190087144
270	0.418859696
271	0.4187081705
272	0.418413361
273	0.418289448
274	0.4180103362
275	0.4178497215
276	0.4176516993
277	0.4173796583
278	0.4171713045
279	0.4169764073
280	0.4168038253
281	0.4166120275
282	0.4163423814
283	0.4162262492
284	0.4160990816
285	0.4158100642
286	0.4156665274
287	0.415523723
288	0.4152823273
289	0.4150493541
290	0.414816881
291	0.4146793371
292	0.4144400936
293	0.414290436
294	0.4139936968
295	0.4138448723
296	0.4137083581
297	0.4135885862
298	0.4133647581
299	0.4132333276
300	0.4130870704
301	0.4128224022
302	0.4126406858
303	0.4124286465
304	0.4121393756
305	0.4118923397
306	0.411726633
307	0.4116689831
308	0.411418371
309	0.4111420307
310	0.4109708043
311	0.4107331899
312	0.4105558475
313	0.4104258583
314	0.4103450802
315	0.4100730005
316	0.4098579993
317	0.4097760479
318	0.4095740622
319	0.4094630382
320	0.4092890268
321	0.4091158489
322	0.408894944
323	0.4087184553
324	0.4085891361
325	0.4084197516
326	0.4082709073
327	0.4081426377
328	0.4078450606
329	0.4077570084
330	0.4075482946
331	0.4072998654
332	0.407032156
333	0.4066891679
334	0.4065207487
335	0.4063015753
336	0.406177468
337	0.4059238512
338	0.4056949618
339	0.4054861208
340	0.4052507048
341	0.4049917692
342	0.4047411574
343	0.4045385578
344	0.404316827
345	0.4041061025
346	0.4039777931
347	0.4038284992
348	0.4036169603
