iter	Passed	Remaining
0	9	9610
1	18	9041
2	26	8954
3	35	8722
4	43	8568
5	50	8383
6	58	8318
7	66	8293
8	75	8259
9	82	8206
10	91	8239
11	99	8228
12	108	8219
13	115	8148
14	124	8146
15	133	8196
16	141	8159
17	148	8112
18	156	8075
19	166	8134
20	174	8138
21	183	8142
22	192	8163
23	201	8186
24	210	8219
25	220	8242
26	228	8246
27	237	8258
28	246	8253
29	256	8288
30	264	8259
31	272	8248
32	280	8212
33	287	8178
34	296	8176
35	304	8156
36	312	8144
37	322	8158
38	331	8160
39	340	8165
40	349	8181
41	357	8156
42	365	8127
43	373	8114
44	381	8093
45	388	8062
46	396	8038
47	404	8020
48	415	8066
49	551	10482
50	560	10423
51	568	10366
52	577	10325
53	586	10280
54	596	10245
55	605	10200
56	614	10158
57	624	10135
58	632	10092
59	641	10049
60	649	9999
61	657	9953
62	666	9919
63	675	9879
64	683	9829
65	691	9784
66	699	9743
67	707	9690
68	715	9651
69	722	9599
70	730	9551
71	737	9505
72	745	9461
73	753	9425
74	761	9393
75	769	9355
76	777	9316
77	784	9275
78	792	9239
79	800	9201
80	808	9172
81	816	9138
82	824	9104
83	831	9065
84	839	9035
85	846	8997
86	854	8969
87	862	8935
88	870	8906
89	879	8889
90	886	8859
91	895	8835
92	903	8811
93	910	8780
94	920	8768
95	929	8756
96	938	8737
97	948	8731
98	957	8715
99	966	8699
100	975	8685
101	985	8673
102	994	8661
103	1003	8645
104	1011	8622
105	1019	8599
106	1027	8576
107	1035	8553
108	1043	8530
109	1051	8507
110	1059	8482
111	1066	8456
112	1073	8425
113	1080	8395
114	1087	8372
115	1095	8348
116	1104	8336
117	1113	8322
118	1122	8308
119	1130	8291
120	1138	8267
121	1146	8248
122	1153	8226
123	1161	8204
124	1169	8187
125	1177	8165
126	1184	8142
127	1191	8119
128	1199	8096
129	1207	8079
130	1216	8068
131	1224	8052
132	1232	8033
133	1240	8019
134	1249	8007
135	1257	7988
136	1265	7969
137	1272	7948
138	1280	7928
139	1287	7910
140	1295	7892
141	1303	7877
142	1311	7860
143	1319	7845
144	1327	7825
145	1334	7804
146	1342	7790
147	1350	7772
148	1357	7755
149	1365	7739
150	1373	7722
151	1381	7707
152	1389	7692
153	1397	7674
154	1404	7658
155	1413	7645
156	1421	7633
157	1429	7615
158	1436	7598
159	1443	7580
160	1451	7565
161	1459	7550
162	1467	7536
163	1475	7521
164	1483	7505
165	1490	7488
166	1498	7472
167	1506	7458
168	1514	7446
169	1521	7430
170	1533	7433
171	1585	7631
172	1594	7623
173	1604	7615
174	1613	7608
175	1622	7598
176	1631	7587
177	1640	7576
178	1649	7565
179	1658	7553
180	1666	7540
181	1675	7531
182	1684	7522
183	1694	7512
184	1702	7498
185	1709	7482
186	1719	7477
187	1728	7466
188	1737	7454
189	1745	7441
190	1753	7427
191	1761	7414
192	1769	7398
193	1776	7381
194	1784	7367
195	1792	7351
196	1800	7337
197	1807	7321
198	1815	7309
199	1823	7295
200	1831	7280
201	1839	7266
202	1847	7253
203	1855	7238
204	1862	7224
205	1870	7211
206	1879	7200
207	1888	7189
208	1896	7179
209	1904	7165
210	1912	7151
211	1920	7140
212	1928	7125
213	1936	7110
214	1943	7097
215	1951	7083
216	1959	7071
217	1969	7063
218	1977	7053
219	1987	7045
220	1996	7037
221	2004	7026
222	2012	7013
223	2020	6998
224	2027	6984
225	2036	6973
226	2043	6960
227	2052	6948
228	2060	6936
229	2068	6923
230	2076	6911
231	2084	6900
232	2093	6891
233	2102	6880
234	2110	6870
235	2119	6860
236	2126	6846
237	2134	6833
238	2142	6820
239	2149	6806
240	2156	6792
241	2164	6779
242	2172	6768
243	2180	6757
244	2188	6744
245	2196	6732
246	2204	6719
247	2212	6708
248	2220	6696
249	2228	6684
250	2235	6671
251	2243	6658
252	2250	6645
253	2258	6634
254	2266	6622
255	2274	6610
256	2282	6598
257	2290	6588
258	2299	6577
259	2307	6566
260	2314	6554
261	2322	6542
262	2329	6529
263	2339	6521
264	2347	6510
265	2355	6498
266	2362	6485
267	2370	6474
268	2377	6461
269	2386	6452
270	2393	6438
271	2401	6426
272	2409	6416
273	2417	6406
274	2425	6395
275	2433	6384
276	2441	6372
277	2448	6359
278	2456	6347
279	2464	6336
280	2471	6324
281	2480	6316
282	2488	6303
283	2495	6291
284	2503	6281
285	2511	6270
286	2519	6259
287	2527	6249
288	2536	6240
289	2544	6229
290	2552	6219
291	2560	6208
292	2569	6199
293	2626	6306
294	2635	6297
295	2643	6288
296	2652	6278
297	2661	6269
298	2669	6258
299	2679	6252
300	2688	6243
301	2697	6234
302	2706	6224
303	2715	6216
304	2725	6210
305	2733	6200
306	2741	6188
307	2748	6176
308	2757	6166
309	2764	6154
310	2772	6142
311	2780	6131
312	2788	6119
313	2796	6108
314	2803	6096
315	2811	6085
316	2819	6073
317	2827	6063
318	2834	6051
319	2843	6042
320	2851	6030
321	2858	6019
322	2866	6007
323	2874	5997
324	2883	5988
325	2890	5976
326	2898	5965
327	2906	5954
328	2914	5943
329	2922	5933
330	2930	5923
331	2937	5911
332	2944	5898
333	2953	5889
334	2984	5923
335	2991	5912
336	2999	5901
337	3007	5890
338	3015	5879
339	3022	5867
340	3031	5857
341	3039	5847
342	3047	5837
343	3055	5827
344	3063	5815
345	3070	5804
346	3079	5795
347	3088	5787
348	3096	5775
349	3105	5768
350	3113	5756
351	3122	5747
352	3130	5737
353	3138	5727
354	3145	5715
355	3153	5705
356	3161	5693
357	3169	5684
358	3177	5673
359	3184	5661
360	3192	5651
361	3201	5642
362	3210	5633
363	3219	5625
364	3229	5618
365	3238	5610
366	3247	5600
367	3255	5591
368	3263	5580
369	3271	5570
370	3280	5561
371	3288	5550
372	3295	5540
373	3304	5530
374	3311	5519
375	3319	5509
376	3327	5498
377	3334	5487
378	3343	5477
379	3351	5468
380	3359	5457
381	3366	5445
382	3373	5434
383	3381	5425
384	3389	5414
385	3397	5404
386	3405	5393
387	3412	5383
388	3421	5373
389	3429	5364
390	3437	5353
391	3445	5343
392	3452	5332
393	3461	5323
394	3468	5312
395	3476	5302
396	3484	5291
397	3491	5281
398	3498	5269
399	3506	5260
400	3514	5250
401	3522	5239
402	3529	5228
403	3537	5218
404	3545	5208
405	3553	5198
406	3561	5189
407	3569	5179
408	3578	5170
409	3587	5162
410	3595	5152
411	3603	5142
412	3615	5138
413	3670	5195
414	3679	5186
415	3688	5177
416	3696	5168
417	3705	5159
418	3715	5151
419	3724	5143
420	3733	5135
421	3742	5126
422	3751	5117
423	3760	5108
424	3769	5100
425	3779	5092
426	3788	5083
427	3796	5073
428	3804	5063
429	3812	5053
430	3820	5043
431	3827	5032
432	3835	5022
433	3843	5012
434	3851	5002
435	3860	4993
436	3869	4985
437	3878	4976
438	3887	4968
439	3897	4959
440	3905	4950
441	3914	4941
442	3923	4933
443	3931	4923
444	3940	4914
445	3950	4907
446	3960	4899
447	3969	4891
448	3978	4882
449	3987	4873
450	3995	4864
451	4004	4855
452	4013	4846
453	4022	4837
454	4030	4828
455	4039	4819
456	4049	4811
457	4058	4803
458	4067	4794
459	4077	4786
460	4086	4777
461	4096	4770
462	4105	4761
463	4114	4752
464	4123	4743
465	4132	4735
466	4141	4726
467	4149	4717
468	4158	4708
469	4167	4699
470	4177	4691
471	4185	4682
472	4194	4673
473	4203	4664
474	4212	4655
475	4221	4646
476	4229	4637
477	4237	4627
478	4245	4617
479	4252	4607
480	4261	4598
481	4270	4589
482	4278	4579
483	4285	4569
484	4293	4558
485	4301	4549
486	4309	4539
487	4317	4529
488	4326	4520
489	4333	4510
490	4342	4501
491	4350	4491
492	4357	4481
493	4366	4472
494	4373	4462
495	4382	4453
496	4390	4443
497	4398	4433
498	4406	4423
499	4413	4413
500	4422	4404
501	4430	4394
502	4437	4384
503	4445	4374
504	4453	4364
505	4461	4355
506	4469	4345
507	4477	4336
508	4485	4326
509	4493	4316
510	4500	4307
511	4509	4298
512	4517	4288
513	4525	4279
514	4533	4269
515	4540	4259
516	4548	4249
517	4557	4240
518	4562	4228
519	4571	4220
520	4579	4209
521	4587	4200
522	4595	4191
523	4604	4182
524	4612	4172
525	4619	4163
526	4627	4153
527	4636	4144
528	4644	4135
529	4653	4126
530	4661	4117
531	4721	4153
532	4731	4145
533	4740	4137
534	4749	4128
535	4759	4119
536	4768	4111
537	4778	4103
538	4788	4095
539	4798	4087
540	4808	4079
541	4818	4071
542	4827	4062
543	4836	4054
544	4846	4045
545	4855	4037
546	4863	4027
547	4872	4019
548	4881	4010
549	4890	4001
550	4898	3991
551	4906	3982
552	4914	3972
553	4922	3962
554	4931	3954
555	4940	3945
556	4950	3937
557	4959	3928
558	4972	3922
559	4981	3913
560	4990	3905
561	5001	3897
562	5011	3889
563	5020	3881
564	5030	3872
565	5039	3864
566	5050	3856
567	5060	3848
568	5072	3842
569	5082	3834
570	5092	3826
571	5102	3817
572	5111	3808
573	5122	3801
574	5132	3793
575	5143	3786
576	5153	3777
577	5163	3769
578	5170	3759
579	5180	3751
580	5190	3743
581	5199	3734
582	5210	3726
583	5220	3718
584	5228	3708
585	5236	3699
586	5243	3689
587	5251	3679
588	5259	3670
589	5267	3660
590	5274	3650
591	5282	3640
592	5290	3630
593	5299	3622
594	5307	3613
595	5316	3603
596	5327	3596
597	5336	3587
598	5347	3579
599	5357	3571
600	5367	3563
601	5374	3552
602	5384	3544
603	5393	3536
604	5403	3528
605	5413	3519
606	5422	3510
607	5432	3502
608	5443	3494
609	5449	3484
610	5459	3475
611	5469	3467
612	5480	3459
613	5489	3451
614	5499	3442
615	5508	3434
616	5517	3425
617	5526	3416
618	5534	3406
619	5542	3397
620	5552	3388
621	5560	3378
622	5569	3370
623	5578	3361
624	5587	3352
625	5596	3343
626	5603	3333
627	5611	3323
628	5619	3314
629	5628	3305
630	5638	3297
631	5647	3288
632	5656	3279
633	5665	3270
634	5674	3261
635	5683	3253
636	5693	3244
637	5701	3235
638	5710	3226
639	5721	3218
640	5848	3275
641	5859	3267
642	5869	3258
