iter	F1	Logloss
0	0.005383580081	0.5446709724
1	0.00539083558	0.5005671936
2	0.00539083558	0.4833896501
3	0.004494382022	0.4720321668
4	0.01163831692	0.4656248584
5	0.02312138728	0.4594889564
6	0.02836879433	0.4557351201
7	0.04212373848	0.4522486844
8	0.07381974249	0.4491106511
9	0.1042893188	0.4455660991
10	0.1220930233	0.4421372104
11	0.1473598035	0.4377397307
12	0.147875817	0.4362629047
13	0.1642394822	0.4339035511
14	0.1638418079	0.4312013137
15	0.1805833	0.428451924
16	0.1985759494	0.426474171
17	0.2063554335	0.4254245335
18	0.2149277061	0.4236131029
19	0.2242048099	0.4215952982
20	0.2307989193	0.4194290919
21	0.2333077513	0.4174471291
22	0.2483858716	0.4143396544
23	0.2696798493	0.4120153301
24	0.2736131934	0.4111797339
25	0.2816691505	0.4083530108
26	0.2883686362	0.4068096874
27	0.2909090909	0.4066676996
28	0.2975573649	0.4036741089
29	0.2958843159	0.4014792842
30	0.3077488065	0.3980650493
31	0.3169838946	0.3963571158
32	0.31959139	0.3941565087
33	0.3249727372	0.3926167173
34	0.3304347826	0.3905505437
35	0.3383729302	0.3889107055
36	0.3468290935	0.386369985
37	0.3513898788	0.3848649315
38	0.3661473088	0.3821806953
39	0.3696113074	0.381185476
40	0.3807854137	0.3789550636
41	0.3840503673	0.3773746839
42	0.3945720251	0.3754386534
43	0.3997228957	0.3729224866
44	0.4012452439	0.3720982805
45	0.4084022039	0.369908398
46	0.4152106886	0.3680919563
47	0.4205479452	0.3660276966
48	0.4232478632	0.3656142064
49	0.4232478632	0.3655283242
50	0.4313458262	0.3636572206
51	0.4401492031	0.3618852997
52	0.4429393837	0.3592217498
53	0.4528936743	0.3565624919
54	0.460610124	0.3537990635
55	0.4688644689	0.3517371944
56	0.471291072	0.3505294957
57	0.473439575	0.3499235434
58	0.4736318408	0.3498173083
59	0.4799735187	0.3479735733
60	0.487804878	0.3462356486
61	0.4894459103	0.3443907119
62	0.4919434397	0.342563582
63	0.4967148489	0.3405389605
64	0.5044160942	0.338642042
65	0.5100977199	0.336519124
66	0.5160870978	0.3347396401
67	0.5178455548	0.3331633755
68	0.5221324717	0.3322057638
69	0.5253963119	0.3305679301
70	0.5274370562	0.3291955407
71	0.5279122298	0.3288522082
72	0.5320924262	0.3269869061
73	0.53448829	0.3252012519
74	0.5400574529	0.32322194
75	0.5454545455	0.3215791389
76	0.5547815073	0.319035626
77	0.5583596215	0.3173299645
78	0.5641509434	0.3158346335
79	0.5672295184	0.3143233192
80	0.5725856698	0.3129840015
81	0.5739184563	0.3120921706
82	0.5789636984	0.3108218578
83	0.5842627014	0.3090320111
84	0.5844437558	0.3074857576
85	0.5849582173	0.3071399985
86	0.58776267	0.305742367
87	0.5888168057	0.3048126806
88	0.594511255	0.3027671511
89	0.5984639017	0.3014017016
90	0.5993865031	0.2998453048
91	0.6079268293	0.2982097363
92	0.6108404385	0.2972091462
93	0.6100456621	0.2958790899
94	0.6153379812	0.2948741313
95	0.61929241	0.2923121914
96	0.6224366707	0.2908085651
97	0.6275924256	0.2898084296
98	0.6339125225	0.2878573292
99	0.640788295	0.2858600856
100	0.6450074516	0.2856549148
101	0.6458333333	0.2846812371
102	0.6436439416	0.283033978
103	0.6420047733	0.2818801442
104	0.6458333333	0.2810669757
105	0.651891253	0.2798678543
106	0.6526627219	0.2785261354
107	0.6530612245	0.2780896961
108	0.6570076878	0.2761903068
109	0.6603773585	0.2754690847
110	0.6647058824	0.2741369797
111	0.6709639613	0.2718109301
112	0.6731163882	0.2702971434
113	0.6771929825	0.2680786325
114	0.6795096322	0.2669544657
115	0.6829552065	0.2654792136
116	0.6859959409	0.2642207006
117	0.6863768116	0.2630282497
118	0.6863768116	0.2628376354
119	0.6903935185	0.2616745192
120	0.6917293233	0.2610264079
121	0.6917293233	0.2610057449
122	0.6938421509	0.2598287158
123	0.6947489902	0.2585470227
124	0.6957023363	0.2582446963
125	0.6968039159	0.2571511413
126	0.7012912482	0.255493268
127	0.7045324154	0.2539958253
128	0.7104511708	0.2523294753
129	0.7091428571	0.2517570758
130	0.7118837276	0.2509726586
131	0.7122507123	0.2509381116
132	0.7140825036	0.2499902081
133	0.718006795	0.248576811
134	0.7225988701	0.2476149784
135	0.7254237288	0.2455184989
136	0.7262979684	0.2441017485
137	0.731912507	0.2428189227
138	0.7326233184	0.2418139661
139	0.733034212	0.24135875
140	0.7326233184	0.2402199881
141	0.7376957494	0.2388308244
142	0.7383412455	0.2381357281
143	0.7388392857	0.2370598312
144	0.7429685324	0.2356713405
145	0.7475755057	0.2338836504
146	0.7501381979	0.2331933663
147	0.7552986513	0.2321094904
148	0.7579757976	0.2310837281
149	0.7584501237	0.2304902776
150	0.7579757976	0.2292257459
151	0.7588671982	0.2277319872
152	0.7645444566	0.2258572627
153	0.7651411346	0.2248393621
154	0.7651411346	0.2248139866
155	0.7670407884	0.2236560323
156	0.7688949523	0.2226973283
157	0.7715763681	0.2207551758
158	0.7743687212	0.2198576838
159	0.7756983998	0.2193732596
160	0.7763941527	0.2185431974
161	0.7778681855	0.2175526661
162	0.7801572242	0.2163994929
163	0.7836668469	0.2151323644
164	0.7854054054	0.2145356099
165	0.787388844	0.213683919
166	0.7905350901	0.2128402824
167	0.7906350915	0.2116538601
168	0.7901966065	0.2113877643
169	0.7931312047	0.2106148817
170	0.7964696443	0.2090730319
171	0.7981823042	0.2082216026
172	0.7998931338	0.2066749679
173	0.803094984	0.2054080746
174	0.8045793397	0.2048946348
175	0.8079681275	0.2036377659
176	0.810925484	0.2027137224
177	0.8101937882	0.2013710976
178	0.8124006359	0.2009472516
179	0.8124006359	0.2009303683
180	0.8154211777	0.1999503636
181	0.816671063	0.1993129338
182	0.8164556962	0.1986923649
183	0.8170795994	0.1977484488
184	0.8196635121	0.196769536
185	0.8219537815	0.1954891349
186	0.8222338752	0.1947272355
187	0.8238680974	0.1936217924
188	0.8264506012	0.1925557154
189	0.8288100209	0.1921146167
190	0.8319874967	0.190952633
191	0.8308977035	0.1899837749
192	0.8305925346	0.1891092497
193	0.8351133108	0.1885394236
194	0.8375357421	0.1877929798
195	0.8376201611	0.1868004744
196	0.8385254413	0.1860649104
197	0.8397302905	0.1849817983
198	0.8394293126	0.184755456
199	0.8384415584	0.1839527787
200	0.8388268881	0.1830545881
201	0.84054965	0.1822288024
202	0.8427315054	0.1815878899
203	0.8443640124	0.180792896
204	0.8434670116	0.1797985895
205	0.8444444444	0.1792300123
206	0.8464516129	0.1778903104
207	0.846749226	0.1778711067
208	0.8481729285	0.1768815548
209	0.8495757264	0.1763448202
210	0.8502316006	0.1755983406
211	0.8515665126	0.1745855643
212	0.8519373877	0.1740243941
213	0.853114586	0.1732403224
214	0.8526018969	0.1726343293
215	0.8542893726	0.1721619362
216	0.8539959016	0.1716113911
217	0.8588205259	0.1708366576
218	0.861946001	0.1697571076
219	0.8653455285	0.1683277476
220	0.8646177292	0.1676429169
221	0.8674271229	0.1667660107
222	0.8661257606	0.1661261775
223	0.8679149798	0.1652257314
224	0.8674942995	0.1644293349
225	0.8683544304	0.164119594
226	0.8700050582	0.1636210254
227	0.8725712844	0.1627724874
228	0.8728557013	0.1620437768
229	0.8756294058	0.1613381342
230	0.879457559	0.1603741175
231	0.8797992472	0.1599050429
232	0.8783919598	0.1592887214
233	0.8784530387	0.1589617726
234	0.8810418232	0.1575798331
235	0.8823823824	0.1567328005
236	0.8797992472	0.156076652
237	0.881984465	0.15527265
238	0.8857285429	0.154546611
239	0.887337986	0.1539685529
240	0.8897735755	0.1529137997
241	0.8902136115	0.1522205615
242	0.8914824932	0.1516005888
243	0.8923076923	0.1512977986
244	0.8936275725	0.1501680309
245	0.8931316638	0.1496421371
246	0.8945544554	0.1490939918
247	0.8955962395	0.1487435911
248	0.8964153276	0.1479971575
249	0.8982213439	0.1466637644
250	0.8985435695	0.1459449028
251	0.8995805576	0.1451949419
252	0.9006655164	0.1451044462
253	0.8995805576	0.1447816262
254	0.90201871	0.1439294433
255	0.9052528228	0.1432683328
256	0.9065947536	0.1427503194
257	0.9071306052	0.1426901565
258	0.9076659319	0.1424548988
259	0.9077111383	0.1415380725
260	0.9100684262	0.1408472664
261	0.9104222602	0.1400854784
262	0.9114850037	0.1395491554
263	0.9150644926	0.1383922689
264	0.9158560311	0.1376594119
265	0.9166464156	0.1369934806
266	0.9166869079	0.1361199204
267	0.9171726986	0.135480381
268	0.9176584892	0.1353145462
269	0.9181840252	0.1346170088
270	0.9192727273	0.1338905373
271	0.9202810758	0.1334369092
272	0.9210653753	0.132660582
273	0.9221093372	0.132396332
274	0.9226305609	0.1316621297
275	0.9218485362	0.1310750864
276	0.9247104247	0.1301503379
277	0.9239314175	0.1296422847
278	0.9257473481	0.1291373048
279	0.9267822736	0.1285350426
280	0.9268175253	0.1281663162
281	0.9275920135	0.1274434323
282	0.9283653846	0.1266664916
283	0.9301655868	0.1263866433
284	0.9301655868	0.1256969458
285	0.9324712644	0.1247258104
286	0.9345124283	0.1242465028
287	0.9347670251	0.1236954234
288	0.935530086	0.1232412584
289	0.9375595806	0.1227301061
290	0.9372764131	0.1219553034
291	0.9393001666	0.1212803794
292	0.9389895138	0.1205877268
293	0.9407566024	0.1197232383
294	0.9425178147	0.1189785006
295	0.9427689385	0.1183990529
296	0.94427318	0.1179080838
297	0.9445234708	0.1174951142
298	0.9448259531	0.1168952649
299	0.9468462084	0.1160851055
300	0.946348381	0.1156259344
301	0.946348381	0.1156120408
302	0.946348381	0.1155988222
303	0.946348381	0.1154547783
304	0.9463230078	0.1147635748
305	0.9480642115	0.1140037374
306	0.9478158205	0.1136746896
307	0.9480887211	0.1133535947
308	0.9490325625	0.1126255227
309	0.9493044093	0.1120776013
310	0.9505416863	0.1113020423
311	0.9522465302	0.1104808649
312	0.9531654507	0.1099672496
313	0.9529190207	0.1093925503
314	0.9534117647	0.1088595621
315	0.9536361497	0.1087763267
316	0.954374412	0.1083422407
317	0.9551116334	0.1078943024
