iter	Passed	Remaining
0	40	40183
1	78	39384
2	117	38989
3	256	63833
4	292	58270
5	327	54190
6	363	51509
7	401	49776
8	438	48232
9	473	46911
10	508	45723
11	542	44652
12	575	43725
13	611	43067
14	647	42487
15	687	42251
16	722	41795
17	757	41325
18	834	43110
19	1640	80385
20	1707	79623
21	1763	78382
22	1824	77496
23	1903	77417
24	1960	76463
25	2016	75536
26	2072	74678
27	2125	73770
28	2244	75152
29	2398	77563
30	2552	79782
31	2675	80935
32	2736	80180
33	2797	79479
34	2874	79265
35	2943	78830
36	3010	78345
37	3075	77849
38	3148	77590
39	3214	77157
40	3276	76629
41	3337	76121
42	3401	75708
43	3468	75352
44	3532	74964
45	3617	75022
46	3681	74655
47	3748	74335
48	3814	74024
49	3882	73772
50	3947	73457
51	4010	73118
52	4073	72779
53	4139	72510
54	4195	72078
55	4316	72771
56	4377	72415
57	4439	72111
58	4496	71721
59	4554	71351
60	4609	70961
61	4649	70335
62	4711	70068
63	4771	69788
64	4841	69645
65	4901	69363
66	4955	69003
67	5012	68696
68	5078	68517
69	5147	68390
70	5229	68422
71	5297	68282
72	5353	67988
73	5469	68438
74	5555	68518
75	5614	68255
76	5676	68044
77	5739	67845
78	5798	67597
79	5856	67344
80	5915	67119
81	5975	66898
82	6042	66754
83	6115	66688
84	6184	66575
85	6245	66372
86	6305	66175
87	6367	65988
88	6424	65761
89	6487	65597
90	6545	65384
91	6609	65235
92	6682	65169
93	6792	65465
94	6863	65381
95	6916	65131
96	6977	64959
97	7041	64813
98	7090	64533
99	7150	64354
100	7407	65935
101	7475	65811
102	7527	65552
103	7574	65260
104	7615	64913
105	7655	64566
106	7696	64229
107	7735	63889
108	7769	63513
109	7805	63150
110	7839	62789
111	7875	62440
112	7910	62091
113	7943	61739
114	7977	61390
115	8010	61046
116	8046	60728
117	8081	60407
118	8116	60085
119	8152	59783
120	8226	59759
121	8262	59463
122	8299	59173
123	8335	58883
124	8369	58584
125	8403	58293
126	8438	58008
127	8473	57723
128	8507	57442
129	8543	57177
130	8571	56857
131	8606	56591
132	8641	56332
133	8675	56070
134	8710	55810
135	8745	55560
136	8782	55324
137	8821	55103
138	8857	54867
139	8892	54622
140	8926	54382
141	8963	54159
142	9000	53938
143	9034	53703
144	9069	53476
145	9103	53249
146	9137	53022
147	9173	52809
148	9207	52586
149	9241	52366
150	9274	52148
151	9308	51933
152	9342	51718
153	9376	51508
154	9410	51302
155	9444	51095
156	9477	50891
157	9512	50695
158	9547	50499
159	9580	50298
160	9614	50101
161	9647	49905
162	9680	49710
163	9715	49524
164	9749	49338
165	9782	49149
166	9816	48963
167	9850	48784
168	9883	48601
169	9917	48422
170	9953	48254
171	9986	48075
172	10020	47899
173	10054	47729
174	10088	47558
175	10121	47389
176	10155	47221
177	10188	47051
178	10222	46886
179	10256	46725
180	10292	46570
181	10325	46406
182	10358	46246
183	10392	46088
184	10426	45931
185	10460	45778
186	10495	45628
187	10528	45474
188	10562	45323
189	10596	45174
190	10630	45024
191	10664	44881
192	10699	44737
193	10733	44592
194	10766	44444
195	10800	44304
196	10834	44161
197	10867	44017
198	10900	43876
199	10934	43737
200	10968	43600
201	11002	43465
202	11036	43328
203	11069	43194
204	11103	43059
205	11137	42927
206	11170	42794
207	11205	42667
208	11240	42541
209	11275	42417
210	11310	42292
211	11343	42164
212	11378	42040
213	11412	41917
214	11446	41792
215	11480	41669
216	11514	41547
217	11548	41424
218	11581	41301
219	11616	41185
220	11651	41069
221	11693	40978
222	11727	40861
223	11761	40744
224	11795	40627
225	11828	40510
226	11863	40398
227	11897	40283
228	11931	40169
229	11965	40056
230	11998	39943
231	12031	39829
232	12065	39717
233	12099	39609
234	12135	39505
235	12170	39400
236	12204	39291
237	12238	39182
238	12271	39074
239	12305	38966
240	12339	38861
241	12372	38754
242	12406	38648
243	12440	38546
244	12474	38440
245	12507	38336
246	12541	38234
247	12574	38129
248	12607	38026
249	12641	37925
250	12675	37823
251	12708	37723
252	12742	37622
253	12776	37524
254	12809	37424
255	12843	37326
256	12876	37227
257	12910	37129
258	12944	37033
259	12977	36936
260	13011	36840
261	13044	36744
262	13077	36647
263	13111	36553
264	13145	36459
265	13178	36365
266	13212	36272
267	13246	36179
268	13279	36085
269	13312	35994
270	13346	35901
271	13379	35810
272	13413	35721
273	13447	35630
274	13480	35539
275	13514	35450
276	13548	35362
277	13582	35274
278	13615	35185
279	13650	35100
280	13683	35012
281	13717	34926
282	13751	34841
283	13785	34755
284	13820	34671
285	13856	34591
286	13889	34506
287	13922	34420
288	13956	34335
289	13990	34252
290	14023	34166
291	14056	34082
292	14090	33999
293	14124	33917
294	14157	33834
295	14192	33754
296	14225	33672
297	14259	33590
298	14293	33510
299	14327	33431
300	14361	33350
301	14394	33270
302	14428	33190
303	14461	33110
304	14495	33031
305	14529	32952
306	14563	32874
307	14598	32798
308	14632	32722
309	14668	32650
310	14705	32579
311	14740	32504
312	14775	32431
313	14809	32355
314	14843	32279
315	14880	32209
316	14914	32135
317	14950	32063
318	14984	31988
319	15017	31912
320	15052	31839
321	15085	31763
322	15119	31690
323	15153	31617
324	15190	31550
325	15230	31487
326	15263	31413
327	15297	31341
328	15330	31266
329	15364	31194
330	15398	31123
331	15432	31051
332	15466	30978
333	15500	30908
334	15534	30837
335	15567	30764
336	15601	30693
337	15635	30623
338	15668	30552
339	15703	30482
340	15737	30413
341	15771	30343
342	15804	30273
343	15840	30207
344	15873	30137
345	15906	30066
346	15940	29997
347	15973	29927
348	16007	29858
349	16040	29790
350	16074	29721
351	16108	29654
352	16142	29586
353	16175	29517
354	16209	29450
355	16243	29383
356	16277	29317
357	16310	29248
358	16344	29182
359	16378	29116
360	16410	29048
361	16445	28983
362	16479	28919
363	16512	28851
364	16546	28785
365	16579	28720
366	16612	28653
367	16646	28588
368	16679	28522
369	16714	28459
370	16747	28394
371	16780	28328
372	16814	28263
373	16847	28199
374	16881	28135
375	16914	28070
376	16947	28006
377	16980	27941
378	17013	27877
379	17047	27814
380	17081	27751
381	17114	27687
382	17148	27625
383	17180	27560
384	17213	27497
385	17248	27436
386	17281	27373
387	17314	27310
388	17348	27248
389	17382	27187
390	17415	27125
391	17449	27064
392	17483	27003
393	17516	26941
394	17549	26880
395	17583	26819
396	17617	26758
397	17650	26697
398	17684	26637
399	17717	26576
400	17751	26516
401	17784	26456
402	17818	26396
403	17853	26338
404	17887	26278
405	17921	26219
406	17954	26160
407	17988	26101
