iter	Passed	Remaining
0	13	13006
1	25	12719
2	34	11483
3	52	13097
4	72	14524
5	93	15446
6	109	15539
7	122	15190
8	134	14816
9	144	14321
10	163	14702
11	176	14527
12	188	14315
13	202	14257
14	218	14378
15	231	14259
16	241	13974
17	252	13788
18	267	13829
19	280	13732
20	291	13608
21	304	13547
22	323	13737
23	342	13911
24	352	13735
25	371	13930
26	391	14110
27	412	14334
28	425	14247
29	452	14637
30	461	14421
31	474	14363
32	494	14488
33	511	14546
34	530	14613
35	541	14496
36	557	14510
37	567	14367
38	577	14234
39	599	14385
40	617	14455
41	637	14536
42	652	14525
43	669	14556
44	677	14376
45	686	14227
46	704	14288
47	723	14358
48	742	14410
49	759	14431
50	777	14458
51	786	14331
52	795	14210
53	806	14132
54	825	14178
55	846	14274
56	861	14247
57	873	14188
58	886	14145
59	900	14100
60	919	14152
61	931	14096
62	943	14026
63	956	13985
64	973	13996
65	982	13898
66	992	13827
67	1004	13767
68	1016	13720
69	1029	13676
70	1049	13729
71	1072	13818
72	1095	13911
73	1104	13818
74	1115	13754
75	1224	14884
76	1235	14806
77	1243	14697
78	1251	14593
79	1268	14593
80	1283	14566
81	1293	14485
82	1312	14500
83	1331	14519
84	1342	14449
85	1353	14388
86	1363	14311
87	1373	14231
88	1385	14186
89	1399	14153
90	1413	14124
91	1426	14078
92	1439	14036
93	1450	13980
94	1462	13936
95	1475	13896
96	1487	13850
97	1500	13807
98	1511	13756
99	1525	13731
100	1537	13688
101	1548	13634
102	1556	13558
103	1566	13496
104	1580	13468
105	1592	13430
106	1604	13388
107	1614	13335
108	1624	13283
109	1638	13260
110	1652	13233
111	1661	13174
112	1673	13133
113	1685	13101
114	1698	13067
115	1710	13035
116	1722	12996
117	1731	12938
118	1743	12905
119	1757	12884
120	1768	12848
121	1778	12800
122	1791	12774
123	1803	12744
124	1815	12707
125	1827	12673
126	1837	12632
127	1849	12599
128	1862	12573
129	1873	12541
130	1885	12508
131	1897	12479
132	1908	12440
133	1918	12395
134	1927	12347
135	1936	12299
136	1944	12249
137	1953	12203
138	1962	12154
139	1970	12105
140	1979	12058
141	1987	12009
142	1995	11958
143	2003	11909
144	2012	11864
145	2019	11813
146	2028	11770
147	2036	11724
148	2045	11681
149	2054	11639
150	2063	11599
151	2072	11561
152	2081	11522
153	2090	11484
154	2100	11449
155	2108	11406
156	2115	11361
157	2123	11315
158	2130	11271
159	2138	11228
160	2146	11183
161	2153	11140
162	2161	11096
163	2168	11052
164	2176	11012
165	2184	10974
166	2191	10931
167	2198	10889
168	2206	10847
169	2213	10806
170	2220	10765
171	2228	10728
172	2235	10688
173	2243	10648
174	2250	10609
175	2257	10570
176	2265	10535
177	2273	10497
178	2280	10461
179	2289	10429
180	2297	10395
181	2304	10358
182	2311	10321
183	2319	10286
184	2326	10251
185	2334	10216
186	2342	10183
187	2349	10149
188	2357	10116
189	2365	10085
190	2372	10051
191	2380	10019
192	2389	9989
193	2397	9961
194	2405	9931
195	2413	9900
196	2421	9871
197	2429	9839
198	2436	9807
199	2444	9776
200	2451	9745
201	2459	9714
202	2495	9797
203	2672	10429
204	2687	10420
205	2696	10394
206	2706	10366
207	2714	10337
208	2723	10309
209	2732	10279
210	2740	10248
211	2749	10221
212	2759	10194
213	2767	10165
214	2775	10135
215	2784	10105
216	2792	10076
217	2800	10046
218	2808	10016
219	2816	9986
220	2824	9954
221	2831	9923
222	2838	9891
223	2846	9861
224	2854	9831
225	2862	9802
226	2869	9772
227	2877	9743
228	2885	9716
229	2893	9686
230	2900	9656
231	2908	9626
232	2915	9597
233	2923	9569
234	2930	9540
235	2939	9514
236	2947	9489
237	2955	9461
238	2962	9433
239	2970	9406
240	2978	9379
241	2985	9352
242	2993	9326
243	3001	9299
244	3009	9272
245	3016	9245
246	3023	9218
247	3031	9191
248	3038	9164
249	3045	9137
250	3053	9110
251	3060	9084
252	3068	9059
253	3075	9033
254	3083	9008
255	3090	8982
256	3098	8956
257	3105	8931
258	3113	8907
259	3120	8881
