iter	Logloss	F1
0	0.5257791073	0.002670226969
1	0.4870169559	0.003561887801
2	0.4746474958	0.0185348632
3	0.4665778342	0.05498281787
4	0.4604662933	0.08463817182
5	0.4540232339	0.1007913369
6	0.4501946966	0.1205906481
7	0.4475846891	0.1361426256
8	0.4437686873	0.1417639952
9	0.4403527131	0.1661417323
10	0.4374642844	0.1827371695
11	0.4347630339	0.1960480434
12	0.4321988444	0.2149390244
13	0.4300920838	0.2232311767
14	0.4285875835	0.2334337349
15	0.4260799151	0.2494415488
16	0.4227624974	0.2713235294
17	0.4208911845	0.2732600733
18	0.4176429145	0.2888402626
19	0.4147300372	0.3068059057
20	0.4117147318	0.3178239084
21	0.4086811062	0.3298969072
22	0.4064353067	0.3402753265
23	0.4027686757	0.3493174659
24	0.3995853663	0.3573166493
25	0.3967365908	0.3649635036
26	0.3923807571	0.3789689314
27	0.3898781614	0.3800410116
28	0.3874336542	0.397834912
29	0.3857113426	0.3952702703
30	0.383352495	0.4041764904
31	0.3816539803	0.4087542088
32	0.3792075182	0.4127516779
33	0.3776526773	0.418230563
34	0.374844221	0.4367739794
35	0.3735348117	0.4395241243
36	0.370969758	0.4447368421
37	0.3708603327	0.4447368421
38	0.3681714979	0.4479474548
39	0.3650886931	0.4662976229
40	0.3649643575	0.466796875
41	0.3618622121	0.467946632
42	0.3607538757	0.4742468416
43	0.357954309	0.4808250081
44	0.3559178922	0.4830481111
45	0.3541947314	0.4900449583
46	0.3516373255	0.4955185659
47	0.3489204057	0.5042925278
48	0.3464976504	0.5169036335
49	0.3464324093	0.5173720783
50	0.3443229293	0.5201511335
51	0.3412494859	0.5224489796
52	0.3379136165	0.5326256634
53	0.3361961644	0.5344558778
54	0.3340543961	0.5391304348
55	0.3318548906	0.5412787089
56	0.3307359065	0.5489348564
57	0.3283897559	0.5572660099
58	0.3276908121	0.5570944906
59	0.3248504273	0.5589412127
60	0.3233073031	0.5590405904
61	0.3205715246	0.5653905054
62	0.3189998365	0.5718645102
63	0.3175406613	0.5763741269
64	0.3173634012	0.5772382398
65	0.3158300548	0.5816419267
66	0.314429586	0.5841135609
67	0.3119775799	0.591456077
68	0.3100565977	0.5954381753
69	0.3092030882	0.5967016492
70	0.3070384068	0.6014947683
71	0.3057327986	0.6064400716
72	0.303142973	0.6094446094
73	0.301614392	0.6110946307
74	0.2991729439	0.6197932053
75	0.2973120255	0.6279001468
76	0.2961217288	0.6286721504
77	0.2960721387	0.6290748899
78	0.2948470155	0.6311787072
79	0.2933462708	0.6354866998
80	0.2914617473	0.6356180434
81	0.2907953787	0.6364434045
82	0.2886243661	0.6421911422
83	0.2863325033	0.6467343977
84	0.284850967	0.6469565217
85	0.2831156711	0.6514582732
86	0.281423456	0.6493206129
87	0.2794332239	0.6522241479
88	0.2773711648	0.6630278656
89	0.2739945813	0.6666666667
90	0.2725486875	0.667812142
91	0.2699045377	0.6731262468
92	0.2685972736	0.677465189
93	0.2675405399	0.6823596143
94	0.266480855	0.6837944664
95	0.2654527517	0.6851328434
96	0.2639992625	0.6903553299
97	0.2621046028	0.6953828829
98	0.2602141267	0.6972167557
99	0.2585395516	0.6992967651
100	0.2569468558	0.7012914093
101	0.2556925771	0.708577815
102	0.2537570219	0.7084148728
103	0.2516761651	0.7134502924
104	0.2498630871	0.7199555926
105	0.2482913918	0.7232982844
106	0.2464343048	0.7225913621
107	0.2447830611	0.7264202978
108	0.2438981058	0.7307268722
109	0.2426072196	0.7301762115
110	0.2403514891	0.7358024691
111	0.2386889653	0.7426852611
112	0.2372779957	0.7427476738
113	0.2357905862	0.7461139896
114	0.2343162112	0.7514262429
115	0.232541035	0.7539380771
116	0.2316292692	0.7558328812
117	0.2305172399	0.7559652928
118	0.2285885779	0.7606397398
119	0.2266894859	0.7626522327
120	0.2252779876	0.7657852132
121	0.2232236401	0.7714670256
122	0.2218175051	0.7749731472
123	0.2211670225	0.7760793778
124	0.2201690984	0.777271509
125	0.2185870449	0.7791722296
126	0.2167843486	0.7832577979
127	0.2155451392	0.7835601815
128	0.214528423	0.7850865513
129	0.2139363975	0.7892638852
130	0.2134563778	0.7899070385
131	0.212427775	0.7898089172
132	0.2114140961	0.7916224814
133	0.2109458001	0.7965162312
134	0.209358854	0.797782471
135	0.2073703412	0.7998945426
136	0.2060456614	0.8047306176
137	0.2054417156	0.806197479
138	0.2036091772	0.8124509547
139	0.2029994682	0.8127615063
140	0.2018712357	0.8135770235
141	0.2009079625	0.8147181628
142	0.1998711967	0.8176853056
143	0.1984099398	0.8197402597
144	0.1969542257	0.8182525279
145	0.1959063306	0.819808141
146	0.1944479924	0.8257731959
147	0.193214481	0.8289676425
148	0.1921760643	0.8317948718
149	0.1919359601	0.8320943348
150	0.1917765743	0.8320943348
151	0.191738076	0.8320943348
152	0.1903220426	0.8326070238
153	0.1896080171	0.8349961627
154	0.1882694725	0.8344845229
155	0.1876517356	0.8347826087
156	0.186684813	0.8363543528
157	0.1852950763	0.8367816092
158	0.1844367897	0.836400818
159	0.1830999349	0.8408163265
160	0.181834024	0.8411119612
161	0.180130367	0.8450203252
162	0.1791820097	0.8467005076
163	0.1780275472	0.8469154608
164	0.1767633066	0.8532388664
165	0.1756714155	0.8534548216
166	0.1740606919	0.8582955119
167	0.1730921979	0.8587257618
168	0.1718326237	0.8616620638
169	0.171215907	0.8608040201
170	0.1702267269	0.8633057437
171	0.1693120019	0.8655819775
172	0.1683723284	0.8674819067
173	0.1675475853	0.8663502373
174	0.1675045596	0.8666333666
175	0.1673478274	0.8666333666
176	0.1670696677	0.8666333666
