iter	F1	Logloss
0	0.6100672323	0.6842598703
1	0.6171551417	0.6769579923
2	0.6291912828	0.6708677259
3	0.6263177068	0.6658901176
4	0.6222131478	0.6611428464
5	0.6287795992	0.6561675111
6	0.6267548838	0.6523594939
7	0.634061457	0.6482350473
8	0.640695983	0.6451022419
9	0.6408577613	0.6421481071
10	0.6426045203	0.6400858284
11	0.6430696598	0.6379258158
12	0.6434746781	0.635430692
13	0.644140506	0.6334260114
14	0.644530921	0.6316931341
15	0.6494082935	0.6295741442
16	0.6482342111	0.6267579345
17	0.6528500017	0.6243077139
18	0.6552665789	0.6221737563
19	0.6604248333	0.6202420296
20	0.6610350553	0.6191746628
21	0.6633439938	0.6181692181
22	0.66387925	0.6165201601
23	0.6632294084	0.6151781628
24	0.665843241	0.6136367618
25	0.667619849	0.6111891467
26	0.6684722166	0.6096181428
27	0.6766760808	0.6076958403
28	0.676378716	0.6070327689
29	0.6745353764	0.6060584239
30	0.6743602815	0.6047957556
31	0.6763284624	0.6038788978
32	0.6756616762	0.6029301643
33	0.6782253849	0.6017896772
34	0.6780448665	0.6006886606
35	0.6795400107	0.5994861405
36	0.680417811	0.5988364848
37	0.6842732717	0.5977773225
38	0.684107094	0.5969468895
39	0.683493618	0.5963181332
40	0.6847582816	0.5957021272
41	0.6858948771	0.5952981088
42	0.6864058707	0.5943212137
43	0.6832984842	0.5941143261
44	0.6856000635	0.5934786957
45	0.6875235877	0.5931117641
46	0.685753419	0.5922401976
47	0.687581995	0.5917036869
48	0.6902676443	0.5902234319
49	0.690840097	0.5892760842
50	0.6906250208	0.5890622672
51	0.6921892751	0.5882828909
52	0.6942618717	0.5871260502
53	0.6943013981	0.5866590564
54	0.6956679455	0.585807336
55	0.6976811989	0.584852061
56	0.6988199828	0.5837389593
57	0.6994692857	0.5833010695
58	0.6982106175	0.5822278819
59	0.6992848257	0.5816445831
60	0.7005695325	0.5805899112
61	0.7007924107	0.5795510385
62	0.7015555	0.5788133502
63	0.701544301	0.5786284153
64	0.7022151804	0.5782814407
65	0.7039023916	0.5778086816
66	0.704012556	0.577558443
67	0.7018124505	0.5767408158
68	0.7021827836	0.576442625
69	0.7034132893	0.5757465692
70	0.7029128429	0.5754570818
71	0.7039034324	0.575200967
72	0.7045632746	0.5749540546
73	0.7053918664	0.5743960901
74	0.7041437268	0.5736591779
75	0.7067328982	0.5729710495
76	0.7073589062	0.5726940907
77	0.71040156	0.5721084636
78	0.7094515756	0.5711025754
79	0.7077206575	0.570851339
80	0.7071828551	0.5704028054
81	0.7084591023	0.5699078164
82	0.7094515756	0.5692953028
83	0.7100677948	0.5689100219
84	0.7111674394	0.5681686748
85	0.7127297122	0.5670872826
86	0.7121153139	0.5667510626
87	0.7123979404	0.5662494767
88	0.7119040664	0.5658130836
89	0.712636065	0.5651882078
90	0.7158686203	0.5643828874
91	0.7157875151	0.5641670747
92	0.7164001929	0.5640482751
93	0.7168906576	0.5634437998
94	0.7169279515	0.562542963
95	0.7191304773	0.5618324384
96	0.7195377033	0.5611758531
97	0.7205967582	0.5603325036
98	0.7200261515	0.5597886199
99	0.7210837731	0.5593057714
100	0.7207184431	0.5587499135
101	0.7206776669	0.5587363317
102	0.7205961284	0.5587071723
103	0.720555366	0.5587008526
104	0.7208400188	0.5586906523
105	0.7208400188	0.5586780129
106	0.723965566	0.5577780631
107	0.7230353195	0.557107896
108	0.7238482496	0.5567605887
109	0.7251902491	0.5559194567
110	0.7253952187	0.55579467
111	0.7263680812	0.5553695305
112	0.7271346618	0.5552637029
113	0.7269385468	0.554858465
114	0.7285576437	0.5539500334
115	0.7276325874	0.5531082916
116	0.7292104762	0.5527401404
117	0.7298985437	0.552608535
118	0.7306206601	0.5521700354
119	0.7307031081	0.5517437317
120	0.7306274758	0.5515400595
121	0.7306687233	0.551038917
122	0.730565337	0.5501555426
123	0.7306892985	0.5500436171
124	0.731268342	0.5494079313
125	0.7323145705	0.5490339038
126	0.7330854992	0.5482613462
