iter	Logloss	F1
0	0.5690280107	0
1	0.5161292989	0.00267618198
2	0.4918755917	0.0008928571429
3	0.4805143708	0.007117437722
4	0.4750915813	0.009769094139
5	0.4676408376	0.01065246338
6	0.4643300337	0.02898550725
7	0.461933345	0.03488879198
8	0.4586218603	0.04081632653
9	0.4541543889	0.05251829531
10	0.450662873	0.0908708456
11	0.4485285332	0.1009595327
12	0.4448549286	0.1065334998
13	0.4433482778	0.1111111111
14	0.439548137	0.1246412464
15	0.4379513811	0.1365298659
16	0.4355617984	0.1548956661
17	0.4331637566	0.1637380192
18	0.4308903259	0.1749502982
19	0.4294775503	0.1861198738
20	0.4278430824	0.201399689
21	0.426024244	0.2142581888
22	0.4250448367	0.2133230651
23	0.4237745567	0.2217107787
24	0.4220905162	0.2357414449
25	0.4210971393	0.2340425532
26	0.4188658542	0.2373009856
27	0.4174003003	0.2448210923
28	0.41655949	0.247647723
29	0.4140148958	0.2504701015
30	0.4121743322	0.2610321616
31	0.4118646311	0.2614867389
32	0.4105470144	0.2724227763
33	0.4086025653	0.2827611665
34	0.4061479065	0.2892896577
35	0.4040368773	0.2954545455
36	0.4023876382	0.2995981001
37	0.400936434	0.305171158
38	0.398484811	0.3120926865
39	0.3964196972	0.3185265439
40	0.3937797206	0.32
41	0.3916085154	0.3297491039
42	0.3898386193	0.3389225829
43	0.3883789025	0.341758633
44	0.386514712	0.3541076487
45	0.3855564017	0.3570166136
46	0.3839279182	0.359915314
47	0.382230958	0.3633169361
48	0.3812637339	0.3652295829
49	0.3798615465	0.3694134078
50	0.3775497737	0.3749562784
51	0.3761289176	0.3828750435
52	0.3748105991	0.3853658537
53	0.3723503373	0.3940443213
54	0.3712202884	0.3936354203
55	0.3700923598	0.3958477509
56	0.3688677169	0.398756047
57	0.367888522	0.4022038567
58	0.3663606324	0.4076870281
59	0.3656507641	0.4098697738
60	0.3639036175	0.412187607
61	0.3637909146	0.4127310062
62	0.3629155632	0.4181756064
63	0.3611229238	0.4215552524
64	0.3588009076	0.4269739072
65	0.3569789797	0.4344013491
66	0.3552917526	0.4408602151
67	0.3537222734	0.4466019417
68	0.3520525015	0.4478609626
69	0.3505722872	0.456362425
70	0.3499509375	0.4565723794
71	0.3493889676	0.4548784549
72	0.3470518285	0.46397885
73	0.3459126279	0.465300727
74	0.3434672842	0.4661157025
75	0.3426637986	0.4684506112
76	0.3408008685	0.4775041051
77	0.3400176376	0.4759710336
78	0.3391002665	0.4808133814
79	0.3371298458	0.4913539967
80	0.3364229805	0.495275334
81	0.3344790188	0.4988632673
82	0.3334559447	0.5037325544
83	0.3326115658	0.5087153002
84	0.3314029854	0.5112830432
85	0.3296812607	0.5181613629
86	0.3271569712	0.5222685037
87	0.3261345838	0.5274234694
88	0.3243921236	0.5299363057
89	0.3236884784	0.5289993627
90	0.3226427727	0.53354531
91	0.3210353537	0.5347288297
92	0.3189636599	0.5436156764
93	0.3172421625	0.5486614173
94	0.3162486344	0.5524827153
95	0.3153772327	0.5532851305
96	0.3149757085	0.5540201005
97	0.3132953662	0.5564617315
98	0.3124641764	0.5616994689
99	0.3115571018	0.5617977528
100	0.3107060782	0.5654613466
101	0.3095791849	0.5743557901
102	0.3087326795	0.5750620347
103	0.3076553583	0.5759454433
104	0.306010394	0.5829734732
105	0.3051939139	0.5862811443
106	0.3050152504	0.5834873691
107	0.3035809027	0.5862811443
108	0.3018980095	0.5946772713
109	0.3005403116	0.5940654634
110	0.2997246741	0.5977432144
111	0.2984328329	0.6035898996
