iter	Passed	Remaining
0	7	7218
1	14	7186
2	21	7283
3	29	7283
4	36	7247
5	43	7275
6	51	7287
7	58	7261
8	65	7261
9	73	7261
10	80	7277
11	88	7283
12	95	7283
13	103	7269
14	110	7267
15	118	7280
16	126	7302
17	133	7283
18	140	7269
19	148	7258
20	155	7258
21	162	7243
22	169	7220
23	177	7211
24	184	7201
25	192	7195
26	199	7192
27	207	7202
28	215	7200
29	222	7189
30	229	7179
31	236	7162
32	243	7146
33	251	7141
34	258	7132
35	265	7121
36	273	7116
37	280	7112
38	288	7104
39	295	7094
40	303	7087
41	310	7084
42	318	7077
43	325	7065
44	332	7060
45	340	7058
46	347	7054
47	355	7046
48	362	7036
49	369	7028
50	377	7016
51	384	7010
52	392	7005
53	399	6997
54	406	6986
55	414	6979
56	421	6971
57	428	6959
58	435	6949
59	443	6940
60	450	6933
61	457	6926
62	465	6917
63	473	6918
64	481	6919
65	488	6919
66	497	6926
67	506	6936
68	515	6952
69	524	6968
70	533	6974
71	541	6979
72	549	6976
73	556	6966
74	563	6955
75	571	6951
76	580	6952
77	587	6943
78	594	6930
79	601	6920
80	608	6908
81	616	6904
82	624	6901
83	633	6902
84	641	6905
85	649	6903
86	657	6897
87	664	6888
88	672	6879
89	679	6870
90	686	6860
91	693	6849
92	701	6838
93	709	6834
94	716	6824
95	723	6815
96	731	6805
97	738	6797
98	745	6787
99	753	6777
100	759	6764
101	767	6759
102	774	6749
103	782	6740
104	789	6730
105	796	6719
106	804	6710
107	812	6711
108	821	6716
109	829	6714
110	837	6708
111	845	6700
112	852	6691
113	859	6682
114	866	6671
115	874	6662
116	881	6653
117	889	6645
118	896	6634
119	903	6623
120	910	6613
121	917	6606
122	925	6597
123	932	6586
124	939	6573
125	946	6562
126	953	6555
127	960	6545
128	968	6536
129	975	6527
130	982	6518
131	989	6509
132	997	6500
133	1004	6491
134	1011	6482
135	1018	6473
136	1025	6461
137	1033	6453
138	1040	6444
139	1048	6439
140	1055	6431
141	1063	6425
142	1070	6417
143	1078	6412
144	1086	6403
145	1093	6395
146	1100	6386
147	1108	6379
148	1116	6376
149	1124	6370
150	1131	6361
151	1139	6356
152	1146	6346
153	1153	6338
154	1161	6333
155	1169	6329
156	1177	6324
157	1185	6318
158	1193	6313
159	1201	6309
160	1209	6304
161	1217	6297
162	1225	6291
163	1232	6282
164	1239	6273
165	1246	6265
166	1254	6255
167	1261	6249
168	1269	6242
169	1277	6236
170	1285	6230
171	1292	6221
172	1299	6212
173	1306	6204
174	1314	6194
175	1321	6187
176	1328	6178
177	1335	6168
178	1343	6160
179	1350	6152
180	1357	6142
181	1364	6134
182	1372	6127
183	1379	6119
184	1387	6114
185	1395	6106
186	1402	6099
187	1410	6090
188	1417	6083
189	1425	6075
190	1432	6066
191	1439	6058
192	1447	6051
193	1454	6042
194	1461	6034
195	1469	6026
