iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6675914038	0.6214207578	0.3846255799
1	0.6522930567	0.5941512259	0.3928850055
2	0.6444181229	0.6238554121	0.4030671296
3	0.6344393927	0.6402690896	0.4167630058
4	0.6265978738	0.6471846634	0.424224778
5	0.6192212059	0.6567037336	0.4359923043
6	0.613146307	0.6643388059	0.4423758865
7	0.6080549849	0.6683285782	0.4491080797
8	0.6056882716	0.6701305563	0.4514285714
9	0.5997483656	0.6785824545	0.4582646486
10	0.5949238417	0.6820607058	0.4633519722
11	0.5922893796	0.6833807447	0.4651515152
12	0.5874983479	0.6887722543	0.4704811049
13	0.5850857759	0.6894325077	0.4710881773
14	0.5831319554	0.6935042605	0.4734459867
15	0.5804171258	0.6929779859	0.4742831133
16	0.5780093972	0.6964990078	0.4768532526
17	0.5731460452	0.7036611673	0.4850053281
18	0.5691411648	0.7070405377	0.4879829632
19	0.5643035134	0.7082914369	0.4894167809
20	0.5597390723	0.7106965499	0.4930332262
21	0.5545309457	0.7135574651	0.4969230769
22	0.5504502621	0.7175138207	0.5026356589
23	0.5475868084	0.7202667543	0.5060653188
24	0.5417833803	0.7257188898	0.5115989413
25	0.5356776114	0.733504104	0.5208398621
26	0.5305943567	0.7381104693	0.5267800882
27	0.5263081878	0.7413862861	0.5310770204
28	0.5225430563	0.748100345	0.5390972664
29	0.519672774	0.7481842368	0.5392686804
30	0.5155752205	0.7528375236	0.5441527446
31	0.5111055352	0.7552436348	0.5477788431
32	0.5089031659	0.7587138315	0.5506137414
33	0.5052649857	0.7624212313	0.5556445156
34	0.5022416718	0.7682829268	0.5628819556
35	0.5010845646	0.7693687386	0.5648387097
36	0.4993296212	0.7711178001	0.5665000806
37	0.4939785656	0.7739940844	0.5702278972
38	0.4895429314	0.7744551677	0.5701839303
39	0.4857052578	0.7773971256	0.5747648394
40	0.4814665373	0.7811416132	0.5804241436
41	0.4760525089	0.785838342	0.5857562888
42	0.472898385	0.7889773218	0.588772846
43	0.4691201137	0.7917513407	0.5917101828
44	0.4651165908	0.7971568371	0.5990813648
45	0.4623748375	0.7979439898	0.5997704542
46	0.4584786134	0.8034310732	0.6074196208
47	0.4554935283	0.8075899671	0.6128658839
48	0.4520806325	0.8087007135	0.6150273677
49	0.4489998445	0.8121240132	0.6199433994
50	0.4446782936	0.8166242117	0.6259185037
51	0.4426751524	0.8183955564	0.6278176657
52	0.4392515176	0.8185444602	0.6296358449
53	0.4362182261	0.8221669664	0.6355045562
54	0.4332411511	0.8240450965	0.6380533964
55	0.4291961476	0.8254825084	0.639945882
56	0.4262919956	0.8262425682	0.6413687955
57	0.4232928132	0.8268847778	0.6428935303
58	0.4199743966	0.8323975868	0.6499829758
59	0.4160802262	0.8350558685	0.6544708497
60	0.41324246	0.8372129681	0.6593217421
61	0.4111660774	0.8380766372	0.6618257261
62	0.4083908296	0.8405682392	0.6640207075
63	0.4053678207	0.8442721554	0.6680462149
64	0.4020787509	0.8476287874	0.6724227249
65	0.3980840969	0.8488970386	0.6755725191
66	0.3951155848	0.8508097431	0.6783666377
67	0.3917968792	0.8547478754	0.6850751485
68	0.3885577527	0.8587486536	0.6916051985
69	0.3853165546	0.8592249464	0.6928219564
70	0.381762607	0.8622903089	0.6962025316
71	0.3795099793	0.8619006684	0.6976497614
72	0.3790075925	0.862531925	0.6988676575
73	0.3767313629	0.8664980907	0.7050257503
74	0.3753063175	0.8683234535	0.7068843151
75	0.3723423323	0.8688165424	0.7073430294
76	0.3697686109	0.8701123545	0.7111507583
77	0.3684574375	0.872464649	0.7144132881
78	0.3654608797	0.8748160508	0.7172709412
79	0.3623742992	0.8775511264	0.7207432553
80	0.3596429714	0.880911006	0.725062567
81	0.3572097294	0.8827578309	0.7278911565
