,price_pred_median
0,880000.0
1,880000.0
2,880000.0
3,880000.0
4,880000.0
5,880000.0
6,880000.0
7,880000.0
8,880000.0
9,880000.0
10,880000.0
11,880000.0
12,880000.0
13,880000.0
14,880000.0
15,880000.0
16,880000.0
17,880000.0
18,880000.0
19,880000.0
20,880000.0
21,880000.0
22,880000.0
23,880000.0
24,880000.0
25,880000.0
26,880000.0
27,880000.0
28,880000.0
29,880000.0
30,880000.0
31,880000.0
32,880000.0
33,880000.0
34,880000.0
35,880000.0
36,880000.0
37,880000.0
38,880000.0
39,880000.0
40,880000.0
41,880000.0
42,880000.0
43,880000.0
44,880000.0
45,880000.0
46,880000.0
47,880000.0
48,880000.0
49,880000.0
50,880000.0
51,880000.0
52,880000.0
53,880000.0
54,880000.0
55,880000.0
56,880000.0
57,880000.0
58,880000.0
59,880000.0
60,880000.0
61,880000.0
62,880000.0
63,880000.0
64,880000.0
65,880000.0
66,880000.0
67,880000.0
68,880000.0
69,880000.0
70,880000.0
71,880000.0
72,880000.0
73,880000.0
74,880000.0
75,880000.0
76,880000.0
77,880000.0
78,880000.0
79,880000.0
80,880000.0
81,880000.0
82,880000.0
83,880000.0
84,880000.0
85,880000.0
86,880000.0
87,880000.0
88,880000.0
89,880000.0
90,880000.0
91,880000.0
92,880000.0
93,880000.0
94,880000.0
95,880000.0
96,880000.0
97,880000.0
98,880000.0
99,880000.0
100,880000.0
101,880000.0
102,880000.0
103,880000.0
104,880000.0
105,880000.0
106,880000.0
107,880000.0
108,880000.0
109,880000.0
110,880000.0
111,880000.0
112,880000.0
113,880000.0
114,880000.0
115,880000.0
116,880000.0
117,880000.0
118,880000.0
119,880000.0
120,880000.0
121,880000.0
122,880000.0
123,880000.0
124,880000.0
125,880000.0
126,880000.0
127,880000.0
128,880000.0
129,880000.0
130,880000.0
131,880000.0
132,880000.0
133,880000.0
134,880000.0
135,880000.0
136,880000.0
137,880000.0
138,880000.0
139,880000.0
140,880000.0
141,880000.0
142,880000.0
143,880000.0
144,880000.0
145,880000.0
146,880000.0
