iter	MAPE	RMSE
0	0.8878823257	1119367.601
1	0.785779361	1025723.58
2	0.6954774821	942162.3843
3	0.6157976427	866347.8085
4	0.5436485204	800451.7137
5	0.4801649486	742616.0018
6	0.4254212909	690812.9403
7	0.3791347731	646019.167
8	0.3400117438	606970.5878
9	0.3082909702	571603.423
10	0.2835561003	540839.5797
11	0.2631699093	513475.874
12	0.2471485757	489522.5537
13	0.2353821148	468827.2579
14	0.2255019876	450128.6105
15	0.2180308722	433979.6514
16	0.2110841025	421364.7062
17	0.2068742504	409299.1485
18	0.2044556383	399802.6555
19	0.2022325914	390622.714
20	0.2005049537	382149.1111
21	0.1996599656	374710.8229
22	0.1994927176	368921.9291
23	0.1983692729	363347.7063
24	0.1987522244	358596.0146
25	0.1976092823	354948.8348
26	0.1966807784	351405.7941
27	0.1972388497	348197.2981
28	0.1973815741	345128.8825
29	0.1974488781	342886.6396
30	0.1977737867	341070.9695
31	0.1983382954	338900.8713
32	0.1970116696	336487.0946
33	0.1960668252	334578.8983
34	0.1960857742	332973.2478
35	0.1960354609	331420.4988
36	0.1963095756	329931.2425
37	0.1953994114	328093.1427
38	0.195173464	326781.7001
39	0.1949882068	325466.1254
40	0.1942095561	324243.0773
41	0.1943512538	323389.5925
42	0.1940022412	321912.3743
43	0.1938859649	320882.5393
44	0.1934643763	319443.9524
45	0.1934710912	318818.8069
46	0.1933485731	317705.4734
47	0.1931064216	317012.0524
48	0.1928310468	316482.3092
49	0.1920806645	315279.8922
50	0.1915820483	314498.7739
51	0.1910994917	313686.5249
52	0.1902604709	313054.3891
53	0.1901861818	312325.7662
54	0.1899687144	311733.4324
55	0.189574964	311079.1129
56	0.1890777893	310198.4952
57	0.1885410206	309399.5496
58	0.1880308596	308613.0752
59	0.1880001651	308151.8645
60	0.1876175578	307638.318
61	0.1876911194	307494.6501
62	0.1869334836	307071.8785
63	0.1867190305	306654.181
64	0.1861065033	306029.2937
65	0.1858180461	305652.397
66	0.1853445973	305320.4712
67	0.1850598161	304706.8939
68	0.1845517904	303908.693
69	0.1843436594	303538.6942
70	0.1840814128	302683.5218
71	0.1833775926	302337.4521
72	0.1832792084	302083.0763
73	0.1831487165	301729.0197
74	0.1829431044	301310.4361
75	0.1826657342	300799.027
76	0.1822967278	300541.7093
77	0.1819054801	300043.7781
78	0.1819206356	300028.3142
79	0.1817692997	299805.7456
80	0.1817549115	299733.0975
81	0.1814650868	299466.6136
82	0.1813329459	299132.131
83	0.1811855581	298803.4297
84	0.1811544263	298677.1204
85	0.1810986548	298525.7216
86	0.180880986	298071.9225
87	0.1807495852	297603.3823
88	0.1806594116	297502.7828
89	0.1806664958	297489.7253
90	0.1800536462	297171.4656
91	0.179938147	296852.836
92	0.1796728647	296341.3798
93	0.1795172462	295952.6844
94	0.1794540645	295764.8995
95	0.1793438018	295461.16
96	0.1791425466	294997.798
97	0.1787411023	294431.3555
98	0.1784736869	294131.2697
99	0.1779657339	293767.5738
100	0.1777772096	293636.696
101	0.1775307201	292902.8985
102	0.1774031585	292617.388
103	0.1772145273	292207.3372
104	0.1772059627	292039.3023
105	0.1771425051	291661.3285
106	0.176973256	291385.4505
107	0.1767310773	290850.3935
108	0.1764813617	290246.0522
109	0.1763785582	290033.9858
110	0.1762175928	289716.3672
111	0.1761332577	289467.9617
112	0.1758628253	289009.3074
113	0.1755194022	288806.1377
114	0.1755195311	288782.2014
115	0.1753661083	288594.6131
116	0.1752909164	288300.3949
117	0.1752412183	288099.822
118	0.1750990598	287589.1141
119	0.1750799394	287548.9916
