iter	Passed	Remaining
0	21	21000
1	38	19378
2	58	19336
3	76	19015
4	95	19032
5	116	19335
6	124	17638
7	128	15962
8	141	15620
9	154	15278
10	174	15699
11	179	14801
12	193	14683
13	204	14369
14	227	14921
15	249	15371
16	274	15889
17	298	16282
18	313	16160
19	337	16516
20	358	16735
21	379	16880
22	399	16984
23	416	16951
24	437	17081
25	460	17238
26	480	17298
27	499	17337
28	519	17387
29	540	17463
30	559	17497
31	580	17545
32	599	17566
33	619	17590
34	639	17619
35	660	17698
36	683	17801
37	703	17818
38	725	17865
39	746	17918
40	769	17990
41	789	18017
42	809	18024
43	830	18042
44	850	18048
45	872	18084
46	892	18099
47	913	18117
48	935	18152
49	955	18157
50	976	18164
51	986	17990
52	1006	17986
53	1026	17984
54	1049	18024
55	1069	18036
56	1091	18054
57	1112	18066
58	1133	18081
59	1155	18106
60	1178	18137
61	1199	18145
62	1237	18412
63	1262	18467
64	1286	18511
65	1311	18555
66	1336	18608
67	1357	18599
68	1378	18596
69	1399	18587
70	1420	18585
71	1444	18620
72	1468	18644
73	1495	18712
74	1521	18759
75	1547	18815
76	1570	18829
77	1591	18815
78	1613	18807
79	1634	18800
80	1656	18798
81	1680	18808
82	1700	18784
83	1721	18767
84	1743	18772
85	1766	18777
86	1791	18796
87	1813	18793
88	1834	18776
89	1855	18762
90	1876	18747
91	1900	18757
92	1925	18776
93	1951	18808
94	1973	18801
95	1996	18798
96	2022	18825
97	2047	18848
98	2071	18856
99	2096	18867
100	2120	18871
101	2146	18893
102	2177	18965
103	2205	18998
104	2239	19091
105	2269	19144
106	2298	19184
107	2327	19224
108	2354	19244
109	2376	19228
110	2413	19326
111	2438	19331
112	2461	19322
113	2485	19318
114	2508	19305
115	2531	19294
116	2554	19277
117	2575	19254
118	2595	19217
119	2617	19193
120	2641	19191
121	2667	19195
122	2690	19186
123	2714	19175
124	2738	19166
125	2762	19162
126	2787	19158
127	2811	19153
128	2836	19154
129	2861	19149
130	2885	19138
131	2908	19123
132	2932	19114
133	2958	19118
134	2987	19142
135	3030	19252
136	3052	19231
137	3073	19200
138	3095	19172
139	3117	19148
140	3139	19128
141	3161	19104
142	3182	19074
143	3204	19049
144	3228	19036
145	3249	19004
146	3271	18984
147	3294	18967
148	3323	18981
149	3345	18956
150	3367	18934
151	3389	18909
152	3410	18878
153	3430	18847
154	3451	18818
155	3471	18784
156	3493	18758
157	3514	18728
158	3536	18704
159	3545	18611
160	3569	18599
161	3591	18577
162	3614	18560
163	3640	18558
164	3664	18543
165	3686	18523
166	3706	18489
167	3728	18466
168	3750	18440
169	3770	18410
170	3793	18388
171	3813	18359
172	3835	18335
173	3855	18300
174	3875	18269
175	3896	18242
176	3917	18214
177	3938	18187
178	3960	18164
179	3982	18140
180	4005	18122
181	4025	18092
182	4045	18061
183	4067	18036
184	4088	18011
185	4109	17984
186	4132	17966
187	4155	17946
188	4175	17915
189	4199	17901
190	4225	17897
191	4248	17880
192	4272	17863
193	4295	17845
194	4318	17828
195	4340	17803
196	4360	17773
197	4382	17750
198	4401	17716
199	4423	17695
200	4446	17675
201	4469	17655
202	4491	17634
203	4513	17610
204	4536	17592
205	4562	17584
206	4584	17563
207	4606	17540
208	4638	17556
209	4672	17579
210	4712	17621
211	4738	17611
212	4760	17591
213	4783	17569
214	4808	17558
215	4833	17545
216	4856	17522
217	4880	17507
218	4903	17486
219	4925	17464
220	4951	17454
221	4974	17434
222	4998	17417
223	5021	17394
224	5044	17374
225	5067	17356
226	5091	17338
227	5114	17316
228	5143	17316
229	5166	17296
230	5189	17276
231	5215	17264
232	5238	17244
233	5259	17216
234	5281	17191
235	5308	17185
236	5331	17162
237	5367	17186
238	5391	17166
239	5411	17136
240	5431	17105
241	5460	17104
242	5480	17074
243	5501	17045
244	5522	17016
245	5542	16987
246	5578	17007
247	5599	16980
248	5622	16958
249	5647	16941
250	5666	16909
251	5688	16883
252	5707	16852
253	5727	16822
254	5751	16803
255	5772	16775
256	5793	16749
257	5815	16725
258	5853	16747
259	5893	16774
260	5930	16792
261	5987	16865
262	6035	16914
263	6067	16914
264	6099	16916
265	6143	16952
266	6178	16962
267	6213	16972
268	6247	16977
269	6282	16985
270	6315	16988
271	6350	16995
272	6395	17030
273	6436	17054
274	6469	17054
275	6498	17045
276	6526	17035
277	6549	17011
278	6574	16989
279	6600	16971
280	6639	16988
281	6661	16960
282	6683	16932
283	6704	16901
284	6725	16873
285	6749	16849
286	6770	16820
287	6791	16791
288	6812	16760
289	6833	16730
290	6854	16700
291	6876	16672
292	6896	16641
293	6917	16612
294	6938	16582
295	6961	16557
296	6983	16530
297	7004	16500
298	7025	16470
299	7046	16440
300	7067	16412
301	7088	16383
302	7109	16354
303	7137	16339
304	7161	16319
305	7188	16304
306	7212	16281
307	7233	16252
308	7255	16226
309	7277	16197
310	7299	16171
311	7321	16144
312	7343	16118
313	7366	16093
314	7387	16065
315	7408	16035
316	7430	16008
317	7451	15980
318	7472	15952
319	7494	15924
320	7515	15897
321	7537	15870
322	7558	15841
323	7580	15815
324	7603	15791
325	7626	15768
326	7649	15742
327	7671	15717
328	7693	15691
329	7718	15670
330	7741	15647
331	7763	15621
332	7785	15594
333	7806	15566
334	7828	15539
335	7848	15510
336	7867	15478
337	7888	15450
338	7909	15423
339	7932	15397
340	7952	15367
341	7973	15341
342	7995	15314
343	8016	15287
344	8038	15260
345	8060	15234
346	8081	15208
347	8101	15179
348	8120	15147
349	8146	15129
350	8170	15107
351	8193	15083
352	8213	15055
353	8234	15026
354	8255	14999
355	8277	14973
356	8298	14946
357	8318	14916
358	8339	14890
359	8361	14864
360	8382	14838
361	8403	14811
362	8425	14784
363	8445	14757
364	8466	14729
365	8487	14701
366	8509	14676
367	8530	14650
368	8551	14624
369	8572	14596
370	8595	14572
371	8617	14548
372	8640	14524
373	8661	14497
374	8685	14475
375	8708	14451
376	8728	14424
377	8750	14399
378	8771	14371
379	8792	14345
380	8814	14320
381	8835	14294
382	8857	14269
383	8879	14244
384	8900	14217
385	8928	14201
386	8950	14177
387	8972	14152
388	8992	14124
389	9014	14098
390	9035	14073
391	9056	14046
392	9078	14021
393	9099	13995
394	9119	13967
395	9140	13942
396	9164	13919
397	9199	13915
398	9220	13887
399	9240	13860
400	9262	13835
401	9283	13809
402	9303	13782
403	9324	13755
404	9345	13729
405	9367	13704
406	9389	13680
407	9411	13655
408	9432	13630
409	9452	13602
410	9476	13580
411	9497	13555
412	9522	13535
413	9545	13510
414	9566	13485
415	9588	13461
416	9612	13438
417	9634	13414
418	9655	13389
419	9678	13365
420	9699	13340
421	9721	13315
422	9742	13289
423	9764	13264
424	9786	13240
425	9808	13215
426	9830	13192
427	9853	13168
428	9874	13142
429	9893	13114
430	9913	13088
431	9935	13063
432	9957	13039
433	9979	13014
434	9998	12986
435	10020	12962
436	10041	12936
437	10064	12913
438	10085	12888
439	10106	12862
440	10127	12837
441	10148	12811
442	10171	12788
443	10193	12764
444	10214	12739
445	10235	12713
446	10258	12691
447	10282	12670
448	10307	12649
449	10332	12628
450	10353	12603
451	10375	12578
452	10395	12552
453	10415	12526
454	10437	12502
455	10459	12477
456	10482	12455
457	10503	12429
458	10524	12404
459	10545	12379
460	10567	12354
461	10589	12331
462	10625	12323
463	10647	12300
464	10671	12277
465	10692	12253
466	10712	12226
467	10733	12200
468	10753	12174
469	10774	12150
470	10796	12125
471	10819	12102
472	10840	12078
473	10863	12054
474	10886	12032
475	10910	12011
476	10932	11986
477	10953	11961
478	10973	11935
479	10994	11910
480	11014	11884
481	11036	11860
482	11057	11835
483	11083	11815
484	11103	11790
485	11124	11765
486	11144	11739
487	11166	11715
488	11189	11692
489	11210	11667
490	11231	11642
491	11252	11618
492	11273	11593
493	11294	11568
494	11315	11543
495	11336	11519
496	11356	11493
497	11377	11468
498	11398	11444
499	11419	11419
500	11440	11395
501	11462	11371
502	11484	11347
503	11505	11323
504	11530	11302
505	11554	11280
506	11577	11257
507	11598	11233
508	11621	11210
509	11641	11184
510	11663	11161
511	11684	11136
512	11706	11113
513	11727	11089
514	11761	11075
515	11783	11052
516	11803	11027
517	11824	11003
518	11846	10978
519	11869	10956
520	11890	10931
521	11911	10907
522	11933	10883
523	11955	10860
