iter	MAPE	MAE
0	0.9449506867	1011430.178
1	0.8953861574	965972.1239
2	0.8461479276	925391.577
3	0.8005547136	885003.7911
4	0.7570638437	845818.9114
5	0.7150244399	811200.8865
6	0.6748802495	778530.127
7	0.6377224656	746365.0045
8	0.6031217537	713869.67
9	0.5701584274	686663.0982
10	0.5398001144	661110.4192
11	0.5109201935	634889.5934
12	0.4855632472	610812.8177
13	0.4604994357	586267.4909
14	0.4381711403	563706.0033
15	0.4173998478	541402.2915
16	0.3990589547	521188.6328
17	0.3827260345	503806.5845
18	0.3664593447	487393.2194
19	0.354234807	474557.3223
20	0.3409072696	459952.3623
21	0.328204457	444971.1072
22	0.3175114799	432095.2035
23	0.308074372	419680.7227
24	0.2984018435	406842.8019
25	0.2893103558	394971.2988
26	0.2819126698	385603.229
27	0.2741851537	375178.4995
28	0.2670300767	365326.9748
29	0.2609160676	355793.8182
30	0.2552224891	347606.7087
31	0.2487806228	338423.5282
32	0.243986288	331006.508
33	0.2394619881	323608.9381
34	0.235101585	316412.7286
35	0.23125231	309950.7882
36	0.2279759701	303800.8398
37	0.225087267	298466.9586
38	0.2225487158	293655.6334
39	0.2196425538	288487.9517
40	0.216490133	283440.5387
41	0.2136950032	278372.7718
42	0.2113284149	273735.9719
43	0.2088796418	269226.2221
44	0.2069043069	265301.5045
45	0.2051036931	261724.463
46	0.2032644879	258102.204
47	0.2015568001	254831.4826
48	0.2000575619	251578.1199
49	0.1990597342	249490.4886
50	0.197732726	246614.1012
51	0.1964870811	244078.6965
52	0.1952181629	241451.1994
53	0.194223389	239150.6355
54	0.1934819092	237406.1177
55	0.1926744617	235403.7133
56	0.1918888676	233758.1896
57	0.1909716214	231752.9226
58	0.1902069833	230117.8371
59	0.1892898519	228338.8974
60	0.1886007999	226807.856
61	0.1879154784	225365.4577
62	0.1872423269	223907.4428
63	0.1867470122	222730.2659
64	0.1864322168	221846.9759
65	0.1856661132	220450.4711
66	0.1851394799	219448.2985
67	0.1845416916	218238.4425
68	0.1840729336	217029.7966
69	0.1834409179	215687.5173
70	0.1831402636	214888.0266
71	0.1827945119	214322.033
72	0.1823360729	213365.8593
73	0.1819416748	212551.5321
