iter	MAPE	MAE
0	0.4095470517	413428.3988
1	0.3960260797	400832.9433
2	0.3827573061	388660.6329
3	0.3706818607	377179.9635
4	0.3591703558	366575.7915
5	0.3492826111	357634.0528
6	0.3410833401	350313.9442
7	0.3315833677	341583.6612
8	0.3228795768	333010.3548
9	0.3146052661	324962.4029
10	0.3069915833	317425.9564
11	0.2992841428	309843.4826
12	0.2926184097	303274.5487
13	0.2866837547	297821.142
14	0.2807239117	292168.4323
15	0.2750788659	286639.536
16	0.2700066577	281999.5957
17	0.2649694071	276981.1888
18	0.2604716084	272645.7405
19	0.2557226785	268492.4429
20	0.2518419922	265002.6065
21	0.2476439397	260844.415
22	0.243828468	257436.5897
23	0.2407414188	254580.838
24	0.2377842726	251925.6171
25	0.2346179078	249240.9133
26	0.2317167326	246408.487
27	0.2291687729	243915.8283
28	0.2267616801	241481.8656
29	0.2243784382	239451.2957
30	0.2220168549	237473.2806
31	0.2193747723	235136.8392
32	0.217108889	233305.304
33	0.2148529843	231412.5581
34	0.2129339798	229954.8504
35	0.2107931354	228104.6497
36	0.2090764386	226674.9558
37	0.2073422497	225165.6658
38	0.2058298675	223884.4839
39	0.2044146894	222850.3413
40	0.2029911232	221837.9085
41	0.2016445188	220993.286
42	0.2002869069	219884.811
43	0.1989867194	218728.2589
44	0.1977926261	217862.4937
45	0.1968436309	216981.0521
46	0.195850101	216211.4566
47	0.1949257463	215554.4026
48	0.1938942299	214425.0416
49	0.1930035791	213613.6022
50	0.1921474749	212869.4708
51	0.1913435233	212222.6164
52	0.1905635754	211606.1204
53	0.1898831573	210998.1857
54	0.1892386128	210427.3819
55	0.1885947807	209724.2096
56	0.1880390485	209114.2576
57	0.1874582357	208506.4955
58	0.1869215238	207984.471
59	0.1863832868	207568.9281
60	0.1858394871	207087.039
61	0.1854225256	206720.334
62	0.1849029399	206066.7732
63	0.1844088091	205686.6031
64	0.1839597865	205349.0959
65	0.1835095501	204920.8529
66	0.1830523472	204487.5154
67	0.1826006328	204093.9809
68	0.1822036087	203677.5123
69	0.181829682	203191.9072
70	0.1814643335	202976.0935
71	0.1810686679	202524.8207
72	0.1807342866	202148.0974
73	0.1804298516	201794.7968
74	0.1801952959	201537.9359
75	0.1799305349	201264.393
76	0.1796524965	200941.9693
77	0.1793607216	200641.0154
78	0.1790737256	200324.8423
79	0.1787419467	200053.2365
80	0.1784579012	199801.9783
81	0.1781618364	199416.6689
82	0.1779504928	199166.8137
83	0.1776251727	198801.5085
84	0.1772675597	198476.6872
85	0.1770277989	198238.9577
86	0.176852619	198061.1359
87	0.1766724002	197774.3845
88	0.1764226292	197473.3247
89	0.176200128	197213.5617
90	0.1759987579	196964.4659
91	0.1758496347	196788.8568
92	0.1757298737	196590.1282
93	0.1755132598	196412.7541
94	0.175344045	196295.1415
95	0.1750826842	196051.8633
96	0.1749133988	195931.506
97	0.1747502772	195775.2507
98	0.1745770774	195628.9286
99	0.1744065406	195500.554
100	0.1742484515	195313.5566
101	0.1740577673	195122.4787
102	0.1738310741	194952.2234
103	0.173693749	194737.105
104	0.1735161381	194556.0833
105	0.1733813976	194349.6208
106	0.1732295023	194119.0197
107	0.1730581668	193926.6288
108	0.1729486172	193744.4892
109	0.1727449758	193511.2108
110	0.1724153108	193220.0419
111	0.1722879066	193021.0639
112	0.1721277771	192834.4518
113	0.1719258189	192612.3758
114	0.1717986957	192484.9611
115	0.1716459455	192309.2134
116	0.1714982158	192178.8301
117	0.1713739832	191988.8938
118	0.1712356047	191780.3294
119	0.1711151557	191641.4621
120	0.1709922546	191479.7844
121	0.1708889253	191332.8917
122	0.1707822426	191250.2023
123	0.1706718896	191162.1407
124	0.1705898384	191105.6481
125	0.1704950242	190964.3452
126	0.1703686554	190808.7183
127	0.170226429	190722.8999
128	0.1700570058	190465.9084
129	0.1699434397	190310.7655
130	0.1698493933	190101.4752
131	0.1697561063	189993.9984
132	0.1696778419	189948.4399
133	0.1695717847	189780.956
134	0.1694454193	189695.8744
135	0.1692880056	189597.5213
136	0.1691923056	189478.2542
137	0.1690693364	189354.3125
138	0.1689520822	189128.818
139	0.1688526793	189069.7591
140	0.168740862	188968.9582
141	0.1686775354	188890.0394
142	0.1685891979	188827.4499
143	0.168475751	188747.2649
144	0.1683854429	188609.9693
145	0.1682746209	188494.6775
146	0.1681717854	188428.3842
147	0.1681107055	188304.8156
148	0.1679869728	188227.8952
149	0.1678439499	188104.676
150	0.1677667845	188012.0736
151	0.1676812958	187954.5762
152	0.1675972668	187904.6802
153	0.1675031154	187818.1516
154	0.1674193189	187771.8912
155	0.1673333067	187687.3825
156	0.1672488388	187529.3612
157	0.1671172224	187429.0973
158	0.1670337359	187350.3656
159	0.166969961	187264.8346
160	0.1669012512	187153.4892
161	0.1668358137	187099.2183
162	0.1667660162	187036.1383
163	0.1667022182	186900.4957
164	0.1665511073	186739.3946
165	0.1664553576	186551.8311
166	0.1664234769	186497.5286
167	0.1663508368	186420.6852
168	0.1662605038	186336.0854
169	0.1661706707	186189.6886
170	0.1660754975	186096.915
171	0.1659920364	186047.0988
172	0.1659362002	185972.1593
173	0.1658271938	185857.0913
174	0.1657488847	185748.6167
175	0.1656286513	185598.2901
176	0.1655659263	185545.0273
177	0.1654258959	185371.9692
178	0.1653644053	185332.357
179	0.1652462121	185215.0721
180	0.1651386308	185087.9884
181	0.1650725453	185038.75
182	0.1650049532	184909.3106
183	0.1649275491	184837.8899
184	0.1648426934	184738.5088
185	0.1647390689	184679.5052
186	0.164643703	184560.4273
187	0.16457934	184526.2943
188	0.164499267	184399.8161
189	0.164403835	184278.3895
190	0.1643207635	184160.1489
191	0.1642220281	184061.7017
192	0.1641150111	183955.6909
193	0.164067977	183905.4597
194	0.1639350674	183809.5895
195	0.1638691191	183748.6691
196	0.1637395541	183615.2771
197	0.1636711118	183520.0851
198	0.1635390326	183412.086
199	0.1634204008	183320.8802
200	0.1633700544	183267.2145
201	0.1632834731	183187.363
202	0.1632242012	183117.2379
203	0.1631034196	183015.5229
204	0.1630516089	182904.4848
205	0.1628311724	182708.9086
206	0.1627546964	182662.1205
207	0.1626818836	182572.9385
208	0.162633487	182545.2854
209	0.1625544615	182478.4494
210	0.1624836901	182390.4673
211	0.162371535	182263.3227
212	0.1622633715	182167.4546
213	0.1622307543	182146.3987
214	0.1620917175	182020.0823
215	0.1619528601	181886.6124
216	0.1618323737	181780.9642
217	0.1617203774	181608.4473
218	0.1616989604	181582.201
219	0.1616660809	181549.2309
220	0.1615721985	181434.2571
221	0.1614925109	181343.2345
222	0.1614097429	181188.0697
223	0.1613223548	181089.1885
224	0.1612593086	181035.2765
225	0.1611734098	180933.9469
226	0.1611352916	180903.5817
227	0.1610533975	180837.4441
228	0.1609879571	180764.5756
229	0.1609062228	180664.9624
230	0.1608434349	180603.751
231	0.1607003334	180429.1798
232	0.1605828346	180318.7229
233	0.1605380525	180295.0843
234	0.16033711	180146.249
235	0.1602654976	180041.8984
236	0.160214903	179983.389
237	0.1601261753	179820.7385
238	0.159967024	179697.0991
239	0.159883214	179608.8157
240	0.1597971751	179485.2547
241	0.159739256	179401.6705
242	0.1596506995	179319.6144
243	0.1595508279	179240.2914
244	0.1595001803	179189.0165
245	0.1594215149	179125.2134
246	0.1593349269	179010.0401
247	0.1592704108	178964.1412
248	0.1591602692	178860.0175
249	0.1591300005	178839.4569
250	0.1590172817	178725.2957
251	0.1589447845	178631.3622
252	0.158854801	178474.09
