iter	Passed	Remaining
0	24	24284
1	60	30285
2	83	27608
3	105	26233
4	127	25443
5	150	24882
6	167	23773
7	190	23599
8	213	23505
9	235	23322
10	256	23066
11	281	23147
12	303	23013
13	324	22813
14	347	22792
15	372	22875
16	397	22969
17	422	23024
18	447	23088
19	472	23124
20	496	23132
21	524	23275
22	551	23398
23	577	23460
24	598	23313
25	622	23281
26	646	23283
27	668	23166
28	688	23034
29	711	22965
30	732	22878
31	755	22819
32	778	22797
33	803	22799
34	832	22938
35	858	22955
36	882	22941
37	908	22977
38	932	22953
39	956	22936
40	979	22888
41	1005	22921
42	1027	22844
43	1049	22777
44	1074	22784
45	1103	22855
46	1130	22904
47	1159	22970
48	1186	23002
49	1211	22995
50	1234	22939
51	1261	22973
52	1287	22987
53	1322	23140
54	1348	23149
55	1375	23158
56	1404	23205
57	1440	23377
58	1468	23392
59	1497	23432
60	1525	23458
61	1553	23475
62	1577	23437
63	1601	23399
64	1625	23356
65	1648	23300
66	1672	23261
67	1696	23233
68	1721	23204
69	1745	23169
70	1770	23140
71	1795	23114
72	1850	23468
73	1920	24003
74	1978	24374
75	2270	27571
76	2296	27499
77	2386	28181
78	2445	28479
79	2480	28496
80	2508	28425
81	2535	28355
82	2560	28261
83	2584	28155
84	2610	28066
85	2638	28006
86	2665	27938
87	2693	27881
88	2719	27806
89	2745	27724
90	2772	27661
91	2796	27568
92	2822	27499
93	2848	27428
94	2874	27349
95	2899	27274
96	2926	27212
97	2953	27155
98	2979	27087
99	3011	27076
100	3036	26995
101	3061	26921
102	3085	26838
103	3108	26748
104	3132	26668
105	3155	26580
106	3179	26507
107	3204	26433
108	3227	26349
109	3250	26273
110	3276	26208
111	3301	26146
112	3324	26069
113	3348	25995
114	3374	25941
115	3401	25895
116	3428	25848
117	3472	25925
118	3498	25873
119	3523	25806
120	3549	25757
121	3575	25701
122	3596	25612
123	3621	25552
124	3645	25488
125	3668	25420
126	3691	25346
127	3715	25285
128	3739	25221
129	3766	25179
130	3793	25134
131	3818	25083
132	3842	25019
133	3865	24953
134	3891	24907
135	3916	24853
136	3938	24777
137	3962	24722
138	3987	24671
139	4011	24614
140	4037	24567
141	4061	24511
142	4087	24467
143	4111	24413
144	4137	24369
145	4164	24330
146	4190	24288
147	4214	24234
148	4237	24171
149	4277	24211
150	4303	24167
151	4327	24111
152	4352	24064
153	4377	24020
154	4402	23973
155	4428	23928
156	4452	23876
157	4476	23829
158	4501	23782
159	4526	23737
160	4552	23697
161	4577	23651
162	4604	23615
163	4630	23577
164	4657	23539
165	4682	23495
166	4706	23447
167	4745	23475
168	4772	23437
169	4796	23389
170	4821	23346
171	4845	23299
172	4870	23253
173	4894	23207
174	4920	23169
175	4948	23139
176	4978	23119
177	5004	23084
178	5034	23061
179	5062	23032
180	5088	22997
181	5114	22958
182	5141	22924
183	5167	22889
184	5195	22860
185	5222	22829
186	5249	22794
187	5277	22766
188	5305	22739
189	5331	22700
190	5354	22651
191	5379	22611
192	5406	22577
193	5432	22542
194	5454	22489
195	5478	22444
196	5503	22404
197	5529	22369
198	5555	22333
199	5582	22300
200	5609	22268
201	5634	22231
202	5661	22198
203	5689	22172
204	5714	22134
205	5738	22091
206	5762	22048
207	5786	22004
208	5809	21959
209	5833	21916
210	5857	21875
211	5883	21839
212	5908	21803
213	5935	21771
214	5961	21738
215	5989	21710
216	6014	21672
217	6038	21633
218	6064	21598
219	6089	21563
220	6114	21524
221	6140	21491
222	6162	21444
223	6185	21401
224	6211	21368
225	6237	21334
226	6263	21302
227	6287	21260
228	6311	21221
229	6334	21178
230	6357	21135
231	6382	21100
232	6407	21065
233	6431	21026
234	6455	20988
235	6482	20959
236	6509	20928
237	6533	20892
238	6560	20860
239	6585	20827
240	6610	20792
241	6636	20758
242	6662	20727
243	6687	20692
244	6712	20657
245	6738	20626
246	6766	20600
247	6793	20571
248	6821	20546
249	6847	20515
250	6874	20487
251	6902	20461
252	6926	20424
253	6954	20397
254	6981	20368
255	7008	20340
256	7035	20311
257	7062	20283
258	7088	20252
259	7115	20223
260	7141	20192
261	7168	20163
262	7191	20124
263	7213	20082
264	7237	20047
265	7262	20011
266	7285	19973
267	7308	19936
268	7330	19893
269	7354	19857
270	7379	19824
271	7404	19790
272	7426	19750
273	7447	19707
274	7472	19672
275	7499	19644
276	7524	19613
277	7551	19585
278	7577	19553
279	7602	19521
280	7628	19492
281	7654	19462
282	7683	19438
283	7710	19412
284	7737	19384
285	7766	19361
286	7791	19330
287	7819	19304
288	7845	19275
289	7871	19245
290	7897	19215
291	7924	19187
292	7949	19155
293	7977	19129
294	8001	19094
295	8024	19058
296	8051	19030
297	8075	18997
298	8101	18965
299	8128	18938
300	8151	18902
301	8174	18866
302	8199	18834
303	8224	18801
304	8247	18765
305	8271	18731
306	8294	18696
307	8316	18657
308	8339	18622
309	8364	18591
310	8391	18563
311	8415	18529
312	8441	18501
313	8470	18479
314	8497	18451
315	8523	18422
316	8548	18390
317	8574	18363
318	8600	18333
319	8626	18304
320	8653	18277
321	8679	18248
322	8701	18210
323	8724	18175
324	8747	18141
325	8769	18103
326	8793	18070
327	8817	18037
328	8840	18003
329	8865	17972
330	8890	17941
331	8914	17909
332	8941	17883
333	8969	17858
334	8995	17829
335	9021	17801
336	9048	17774
337	9073	17744
338	9098	17714
339	9126	17689
340	9151	17658
341	9178	17633
342	9204	17604
343	9229	17573
344	9264	17562
345	9293	17538
346	9320	17512
347	9345	17481
348	9373	17457
349	9397	17426
350	9419	17390
351	9445	17361
352	9470	17331
353	9495	17301
354	9519	17269
355	9543	17236
356	9566	17204
357	9590	17171
358	9614	17140
359	9640	17111
360	9664	17080
361	9686	17045
362	9709	17012
363	9733	16980
364	9756	16947
365	9780	16915
366	9804	16884
367	9828	16852
